B,family,point,pattern,delta_R_weighted_nonfail,delta_R_count,delta_R_count_nonfail,delta_clean_starts,delta_clean_ratio,delta_starts,delta_attack_starts,delta_busy_steps,delta_utilization,delta_failures,delta_attack_failures,delta_clean_failures,delta_cost_per_step,delta_D95,delta_expired,delta_horizon,delta_final_active_Tminus1,delta_unfinished_T,delta_idle_with_waiting,delta_competition_steps,delta_no_eligible_with_free_waiting,delta_expiry_with_free_slot
2,A,Q90,cfB,-0.4310829250955266,-0.6446434741010445,-0.6216413745448748,-6.5,-0.12244897959183673,-131.5,-125.0,-174.5,-0.1615740740740741,-5.5,-4.5,-1.0,-9.50619464938598,-0.5,-43.5,-5.5,0.0,0.0,-122.5,-72.0,-98.5,-43.5
2,A,Q90,cfC,-0.6140929779775375,-0.7739691072400653,-0.7443351932498639,-5.5,-0.12838709677419355,-138.0,-132.5,-189.0,-0.175,-7.0,-5.0,-2.0,-9.29034712127428,0.0,-39.0,-3.0,0.0,0.0,-120.0,-76.0,-99.0,-39.0
2,A,Q90,cfD,-0.23912112736357916,-0.4425125313283209,-0.4158834586466166,-6.0,-0.17661900756938603,-81.0,-75.0,-111.0,-0.10277777777777777,-7.0,-4.5,-2.5,-5.869000838177747,-0.5,-32.5,0.0,0.0,0.0,-113.0,-62.5,-94.0,-32.5
2,A,NONE_ACCEPT,cfA,-0.9482021076475136,-0.9228948679621325,-0.8969376413322602,-11.0,-0.1803025625192961,-222.0,-211.0,-333.5,-0.3087962962962963,-10.5,-6.0,-4.5,-14.36691924363609,,-66.5,0.0,0.0,0.0,-167.0,-180.5,-109.5,-65.5
2,A,NONE_ACCEPT,cfB,-0.9860046499334074,-0.9845323836606692,-0.9615302841044995,-6.5,-0.12244897959183673,-197.5,-191.0,-275.0,-0.25462962962962965,-5.5,-4.5,-1.0,-13.0770724597619,,-43.5,-5.5,0.0,0.0,-122.5,-73.0,-98.5,-43.5
2,A,NONE_ACCEPT,cfC,-0.9683467014635039,-0.9600741698421339,-0.9304402558519325,-5.5,-0.12838709677419355,-170.0,-164.5,-237.5,-0.2199074074074074,-7.0,-5.0,-2.0,-10.557527043420485,,-39.0,-3.0,0.0,0.0,-120.0,-78.0,-99.0,-39.0
2,A,NONE_ACCEPT,cfD,-0.98732335651493,-0.9794277360066834,-0.9527986633249791,-6.0,-0.17661900756938603,-172.0,-166.0,-244.5,-0.2263888888888889,-7.0,-4.5,-2.5,-10.658918301328704,,-32.5,0.0,0.0,0.0,-113.0,-62.5,-94.0,-32.5
2,B,ALL_ACCEPT,cfA,0.02297899643702561,0.07272622743474766,0.0683473228316277,49.0,0.8196974374807039,65.5,16.5,65.5,0.06064814814814817,6.0,1.0,5.0,3.6300700837444637,-0.5,-65.5,0.0,0.0,0.0,-167.0,-125.5,-109.5,-64.5
2,B,ALL_ACCEPT,cfB,0.0036043720152021397,0.015467616339330803,0.015467616339330803,46.0,0.8775510204081632,49.0,3.0,49.5,0.04583333333333328,5.0,0.0,5.0,3.0061577640548585,-0.5,-43.5,-5.5,0.5,0.0,-122.5,-63.5,-98.5,-43.5
2,B,ALL_ACCEPT,cfC,0.010395037308216226,0.039925830157866105,0.037084921066957044,35.0,0.8716129032258064,42.0,7.0,42.0,0.03888888888888889,4.5,0.5,4.0,2.555552331297214,-0.5,-39.0,-3.0,0.5,0.0,-120.0,-62.0,-99.0,-39.0
