tag,B,left,right,delta_Rw_pp,delta_Rn_pp,delta_busy,delta_clean,delta_starts,delta_cost,delta_D95,equal_busy_and_clean,within_right_busy_clean_caps
cfA_frontloaded_0_seed20260511_off1020,2,ATC_START,S0,0.29339853300733854,-0.8547008547008517,1.0,1.0,-1.0,-65.56313356806095,0.0,False,False
cfA_frontloaded_0_seed20260511_off1020,2,ROLLING_CURRENT_QUEUE_NONDELAY,S0,0.29339853300733854,-0.8547008547008517,1.0,1.0,-1.0,-65.56313356806095,1.0,False,False
cfA_frontloaded_1_seed20260512_off1080,2,ROLLING_CURRENT_QUEUE_NONDELAY,ATC_START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
cfA_frontloaded_1_seed20260512_off1080,2,A_Q25_FIFO,S0,1.1928429423459286,1.7937219730941645,13.0,9.0,13.0,389.83240296699296,0.0,False,False
cfA_frontloaded_1_seed20260512_off1080,2,ATC_START,S0,1.1928429423459286,1.7937219730941645,13.0,9.0,13.0,389.83240296699296,0.0,False,False
cfA_frontloaded_1_seed20260512_off1080,2,ROLLING_CURRENT_QUEUE_NONDELAY,S0,1.1928429423459286,1.7937219730941645,13.0,9.0,13.0,389.83240296699296,0.0,False,False
cfB_backloaded_0_seed20260521_off1140,2,ROLLING_CURRENT_QUEUE_NONDELAY,ATC_START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
cfB_backloaded_0_seed20260521_off1140,2,A_Q25_FIFO,S0,-0.11971268954510395,-0.50761421319796,3.0,4.0,3.0,86.13744234997921,0.0,False,False
cfB_backloaded_0_seed20260521_off1140,2,ATC_START,S0,-0.11971268954510395,-0.50761421319796,3.0,4.0,3.0,86.13744234997921,0.0,False,False
cfB_backloaded_0_seed20260521_off1140,2,ROLLING_CURRENT_QUEUE_NONDELAY,S0,-0.11971268954510395,-0.50761421319796,3.0,4.0,3.0,86.13744234997921,0.0,False,False
cfB_backloaded_1_seed20260522_off1200,2,ROLLING_CURRENT_QUEUE_NONDELAY,ATC_START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
cfB_backloaded_1_seed20260522_off1200,2,A_Q25_FIFO,S0,-0.1205787781350498,-0.5235602094240899,1.0,2.0,1.0,-45.091865293313276,0.0,False,False
cfB_backloaded_1_seed20260522_off1200,2,ATC_START,S0,-0.1205787781350498,-0.5235602094240899,1.0,2.0,1.0,-45.091865293313276,0.0,False,False
cfB_backloaded_1_seed20260522_off1200,2,ROLLING_CURRENT_QUEUE_NONDELAY,S0,-0.1205787781350498,-0.5235602094240899,1.0,2.0,1.0,-45.091865293313276,0.0,False,False
cfC_interleaved_0_seed20260611_off1260,2,ROLLING_CURRENT_QUEUE_NONDELAY,ATC_START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
cfC_interleaved_0_seed20260611_off1260,2,A_Q25_FIFO,S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
cfC_interleaved_0_seed20260611_off1260,2,ATC_START,S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
cfC_interleaved_0_seed20260611_off1260,2,ROLLING_CURRENT_QUEUE_NONDELAY,S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
cfC_interleaved_1_seed20260612_off1320,2,ROLLING_CURRENT_QUEUE_NONDELAY,ATC_START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
cfC_interleaved_1_seed20260612_off1320,2,A_Q25_FIFO,S0,0.4792332268370392,1.7045454545454475,5.0,2.0,5.0,141.6827966649107,-1.0,False,False
cfC_interleaved_1_seed20260612_off1320,2,ATC_START,S0,0.4792332268370392,1.7045454545454475,5.0,2.0,5.0,141.6827966649107,-1.0,False,False
cfC_interleaved_1_seed20260612_off1320,2,ROLLING_CURRENT_QUEUE_NONDELAY,S0,0.4792332268370392,1.7045454545454475,5.0,2.0,5.0,141.6827966649107,-1.0,False,False
cfD_tailheavy_0_seed20260621_off1380,2,ROLLING_CURRENT_QUEUE_NONDELAY,ATC_START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
cfD_tailheavy_0_seed20260621_off1380,2,A_Q25_FIFO,S0,-0.0684462696782906,-0.5847953216374324,-1.0,0.0,-1.0,-85.77959951441335,0.0,False,True
cfD_tailheavy_0_seed20260621_off1380,2,ATC_START,S0,-0.0684462696782906,-0.5847953216374324,-1.0,0.0,-1.0,-85.77959951441335,0.0,False,True
cfD_tailheavy_0_seed20260621_off1380,2,ROLLING_CURRENT_QUEUE_NONDELAY,S0,-0.0684462696782906,-0.5847953216374324,-1.0,0.0,-1.0,-85.77959951441335,0.0,False,True
cfD_tailheavy_1_seed20260622_off1440,2,ROLLING_CURRENT_QUEUE_NONDELAY,ATC_START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
cfD_tailheavy_1_seed20260622_off1440,2,A_Q25_FIFO,S0,-0.137174211248281,-1.1904761904761862,-2.0,0.0,-2.0,-38.09024915267855,0.0,False,True
cfD_tailheavy_1_seed20260622_off1440,2,ATC_START,S0,-0.137174211248281,-1.1904761904761862,-2.0,0.0,-2.0,-38.09024915267855,0.0,False,True
cfD_tailheavy_1_seed20260622_off1440,2,ROLLING_CURRENT_QUEUE_NONDELAY,S0,-0.137174211248281,-1.1904761904761862,-2.0,0.0,-2.0,-38.09024915267855,0.0,False,True
