section,artifact_path,artifact_type,n_rows,recover_fail_raw_key_present,recover_fail_numeric_vector,backend_fail_raw_key_present,backend_fail_numeric_vector,is_mixed_scheduler_bank,recover_fail_present,recover_fail_nan_count,recover_fail_all_zero,recover_fail_constant,recover_fail_frequency,backend_fail_present,backend_fail_nan_count,backend_fail_all_zero,backend_fail_constant,backend_fail_frequency,service_time_present_exact,service_time_derived_present,service_time_nan_count,service_time_constant,service_cost_present_exact,service_cost_derived_present,service_cost_nan_count,service_cost_constant,recover_fail_attack_frequency,recover_fail_clean_frequency,recover_corr_backend,recover_corr_product_proxy,recover_corr_additive_proxy,recover_corr_service_time,recover_corr_service_cost,holdout_id,budget,variant,served_attack_jobs,served_clean_jobs,served_recover_fail_attack_jobs,served_recover_fail_clean_jobs,served_recover_fail_attack_rate,served_recover_fail_clean_rate,served_backend_fail_attack_jobs,served_backend_fail_clean_jobs,served_backend_fail_attack_rate,served_backend_fail_clean_rate,served_recover_backend_corr
bank_field,metric/case14/mixed_bank_fit.npy,source_train_bank,218,True,True,True,True,True,True,0,True,True,0.0,True,0,False,False,0.04128440366972477,False,True,0,False,False,True,0,False,0.0,0.0,nan,nan,nan,nan,nan,,,,,,,,,,,,,,
bank_field,metric/case14/mixed_bank_eval.npy,source_val_bank,278,True,True,True,True,True,True,0,True,True,0.0,True,0,False,False,0.03597122302158273,False,True,0,False,False,True,0,False,0.0,0.0,nan,nan,nan,nan,nan,,,,,,,,,,,,,,
bank_field,metric/case39_localretune/mixed_bank_fit_native.npy,native_train_bank,468,True,True,True,True,True,True,0,False,False,0.03418803418803419,True,0,False,False,0.8290598290598291,False,True,0,False,False,True,0,False,0.036939313984168866,0.02247191011235955,0.08543186842132075,0.0333093140324188,0.04393336818283887,-0.060057762690763204,-0.09138221316721798,,,,,,,,,,,,,,
bank_field,metric/case39_localretune/mixed_bank_eval_native.npy,native_val_bank,409,True,True,True,True,True,True,0,False,False,0.05378973105134474,True,0,False,False,0.726161369193154,False,True,0,False,False,True,0,False,0.05851063829787234,0.0,0.1464153616597814,0.04178669528711,0.06971387501541192,-0.027085087351602144,-0.12941905847121196,,,,,,,,,,,,,,
bank_field,metric/case39/metric_clean_alarm_scores_full.npy,target_clean_bank,0,True,False,False,False,False,False,,,,,False,,,,,False,False,,,False,False,,,,,,,,,,,,,,,,,,,,,,,
bank_field,metric/case39/metric_attack_alarm_scores_400.npy,target_attack_bank,3,True,False,False,False,False,False,,,,,False,,,,,False,False,,,False,False,,,,,,,,,,,,,,,,,,,,,,,
bank_field,metric/case39/phase3_confirm_blind_v1/banks/mixed_bank_test_cfA_frontloaded_0_seed20260511_off1020.npy,holdout_0,235,True,True,True,True,True,True,0,False,False,0.04680851063829787,True,0,False,False,0.8212765957446808,False,True,0,False,False,True,0,False,0.045871559633027525,0.058823529411764705,0.10337566685351696,-0.05822953903993207,-0.05905898982718822,-0.0697320739103906,-0.1285142591613526,,,,,,,,,,,,,,
bank_field,metric/case39/phase3_confirm_blind_v1/banks/mixed_bank_test_cfA_frontloaded_1_seed20260512_off1080.npy,holdout_1,234,True,True,True,True,True,True,0,False,False,0.05128205128205128,True,0,False,False,0.811965811965812,False,True,0,False,False,True,0,False,0.04716981132075472,0.09090909090909091,0.11188288939258602,-0.0641741908265152,-0.072312648025539,0.008734394217339373,-0.1257618325249387,,,,,,,,,,,,,,
bank_field,metric/case39/phase3_confirm_blind_v1/banks/mixed_bank_test_cfB_backloaded_0_seed20260521_off1140.npy,holdout_2,209,True,True,True,True,True,True,0,False,False,0.05263157894736842,True,0,False,False,0.7799043062200957,False,True,0,False,False,True,0,False,0.05,0.1111111111111111,0.12521283856721155,-0.029503520876378857,-0.0656374309027584,-0.08149058875750255,-0.12238200472256136,,,,,,,,,,,,,,
bank_field,metric/case39/phase3_confirm_blind_v1/banks/mixed_bank_test_cfB_backloaded_1_seed20260522_off1200.npy,holdout_3,218,True,True,True,True,True,True,0,False,False,0.045871559633027525,True,0,False,False,0.7155963302752294,False,True,0,False,False,True,0,False,0.041025641025641026,0.08695652173913043,0.1382298631592805,-0.10415680676540147,-0.10547389140125432,-0.09210655728018403,-0.14511905051458085,,,,,,,,,,,,,,
