proxy,budget,comparison,metric,mean_delta,median_delta,min_delta,max_delta,bootstrap95_ci_low,bootstrap95_ci_high,exact_sign_test_p,sign_flip_p,wins,losses,ties
product_proxy,1,source_frozen_transfer vs topk_expected_consequence,proxy_rank_score,0.019359849032180753,0.02046340543700262,-0.01093643198906357,0.05558583106267026,0.005424077930406663,0.034079416028468756,0.453125,0.0625,5,2,1
product_proxy,1,source_frozen_transfer vs winner_replay,proxy_rank_score,0.028760327966395823,0.022761613067891776,0.008202323991797676,0.0710272873194221,0.01746275138914693,0.042728432930411474,0.0078125,0.0078125,8,0,0
product_proxy,1,source_frozen_transfer vs native_safeguarded_retune,proxy_rank_score,0.07614038775550427,0.07682102782497591,0.03827751196172249,0.12118780096308182,0.05591298830160356,0.0978225324197683,0.0078125,0.0078125,8,0,0
product_proxy,2,source_frozen_transfer vs topk_expected_consequence,proxy_rank_score,0.04506818245493034,0.04789519379077008,0.008293020041465093,0.09155313351498624,0.02831155911264613,0.06254230745406773,0.0078125,0.0078125,8,0,0
product_proxy,2,source_frozen_transfer vs winner_replay,proxy_rank_score,0.050829053202001456,0.05561953432197937,0.008400000000000019,0.08119891008174374,0.034578469588132106,0.06613523395855463,0.0078125,0.0078125,8,0,0
product_proxy,2,source_frozen_transfer vs native_safeguarded_retune,proxy_rank_score,0.16161902558364583,0.1671494828074585,0.08569454042847269,0.20817438692098075,0.13710207831811264,0.1818049193959126,0.0078125,0.0078125,8,0,0
additive_proxy,1,source_frozen_transfer vs topk_expected_consequence,proxy_rank_score,0.018710878276269254,0.019077512675851515,-0.00494132180358247,0.046005154639175275,0.006790436425832576,0.03082983216151088,0.125,0.046875,6,1,1
additive_proxy,1,source_frozen_transfer vs winner_replay,proxy_rank_score,0.025880348295404136,0.020937533799812655,0.007000205888408481,0.06646805013355253,0.01556942783176351,0.03902251885520956,0.0078125,0.0078125,8,0,0
additive_proxy,1,source_frozen_transfer vs native_safeguarded_retune,proxy_rank_score,0.07294965105139972,0.07365608738027443,0.037059913526868445,0.1191699198685022,0.05407159593683044,0.09306415233509881,0.0078125,0.0078125,8,0,0
additive_proxy,2,source_frozen_transfer vs topk_expected_consequence,proxy_rank_score,0.03961618751397003,0.04240549813883107,0.007129377227930375,0.0802835051546392,0.024566241765322624,0.05468778830027491,0.0078125,0.0078125,8,0,0
additive_proxy,2,source_frozen_transfer vs winner_replay,proxy_rank_score,0.04439019166290817,0.04903345478405642,0.006918628665840559,0.07177835051546393,0.029916922621827515,0.05692853236872193,0.0078125,0.0078125,8,0,0
additive_proxy,2,source_frozen_transfer vs native_safeguarded_retune,proxy_rank_score,0.15008480187926226,0.15861464723496632,0.07590689872090588,0.1953608247422681,0.12520173445940072,0.16993496745681386,0.0078125,0.0078125,8,0,0
backend_success_proxy,1,source_frozen_transfer vs topk_expected_consequence,proxy_rank_score,0.07459091073148999,0.06514367101485317,-0.018099547511312222,0.21294363256784968,0.022054260442316193,0.13023731639115715,0.453125,0.0625,5,2,1
backend_success_proxy,1,source_frozen_transfer vs winner_replay,proxy_rank_score,0.09828822728748203,0.07734069450150126,0.013574660633484156,0.2606774668630339,0.049199671249510774,0.15712580622571587,0.0078125,0.0078125,8,0,0
backend_success_proxy,1,source_frozen_transfer vs native_safeguarded_retune,proxy_rank_score,0.24947048899367408,0.24799366877295378,0.06334841628959274,0.4551148225469729,0.15036455124493397,0.3510229586899775,0.0078125,0.0078125,8,0,0
backend_success_proxy,2,source_frozen_transfer vs topk_expected_consequence,proxy_rank_score,0.1489346751058096,0.12962562266319536,0.01685393258426965,0.35073068893528153,0.08287346492037127,0.2226327777122976,0.0078125,0.0078125,8,0,0
backend_success_proxy,2,source_frozen_transfer vs winner_replay,proxy_rank_score,0.16196832388692228,0.180590652922273,0.01843722563652328,0.31106471816283904,0.10020377843484338,0.22322179320760102,0.0078125,0.0078125,8,0,0
backend_success_proxy,2,source_frozen_transfer vs native_safeguarded_retune,proxy_rank_score,0.5097944827837297,0.5325087771953458,0.17415730337078644,0.7974947807933191,0.3597323245882891,0.652776633891827,0.0078125,0.0078125,8,0,0
recovery_aware_proxy,1,source_frozen_transfer vs topk_expected_consequence,proxy_rank_score,0.020112943477818883,0.021186440677966104,-0.01145311381531855,0.057529610829103184,0.005278886251353312,0.035405650844347616,0.453125,0.0625,5,2,1
recovery_aware_proxy,1,source_frozen_transfer vs winner_replay,proxy_rank_score,0.02999857143234591,0.023593019051896966,0.008589835361488905,0.07462057335581782,0.018171418977253165,0.04503120891302506,0.0078125,0.0078125,8,0,0
recovery_aware_proxy,1,source_frozen_transfer vs native_safeguarded_retune,proxy_rank_score,0.07927697366692332,0.080103770781174,0.040085898353614896,0.12731871838111294,0.0587460385889135,0.10143940361675582,0.0078125,0.0078125,8,0,0
recovery_aware_proxy,2,source_frozen_transfer vs topk_expected_consequence,proxy_rank_score,0.047060228476471705,0.05043177122449963,0.008474576271186432,0.09475465313028755,0.029336019444908688,0.06481138448148051,0.0078125,0.0078125,8,0,0
recovery_aware_proxy,2,source_frozen_transfer vs winner_replay,proxy_rank_score,0.05312844236691608,0.05818636841794006,0.008659793814432992,0.08403835307388596,0.036312796320177046,0.06880049993754445,0.0078125,0.0078125,8,0,0
recovery_aware_proxy,2,source_frozen_transfer vs native_safeguarded_retune,proxy_rank_score,0.16860739730780855,0.1750891402520936,0.08757062146892652,0.21545403271291586,0.14150031481665282,0.18967785422319516,0.0078125,0.0078125,8,0,0
burden_proxy,1,source_frozen_transfer vs topk_expected_consequence,proxy_rank_score,-0.07213479863540365,-0.0810673794216677,-0.12853554702939163,0.008565165506417727,-0.09773575781675115,-0.04351266743636692,0.0703125,0.015625,1,7,0
burden_proxy,1,source_frozen_transfer vs winner_replay,proxy_rank_score,-0.17705774727505344,-0.15785203379650808,-0.3146265799478779,-0.10934311779613026,-0.22157808796543965,-0.14157845986479112,0.0078125,0.0078125,0,8,0
burden_proxy,1,source_frozen_transfer vs native_safeguarded_retune,proxy_rank_score,-0.6659055494691982,-0.6558215438319825,-0.8666433230613333,-0.5254072935937578,-0.7428168826590468,-0.5962920886848425,0.0078125,0.0078125,0,8,0
burden_proxy,2,source_frozen_transfer vs topk_expected_consequence,proxy_rank_score,-0.07505236522131177,-0.08436817785415518,-0.13518112288665285,-0.0010619327216905283,-0.10393196516540244,-0.04312558075190234,0.0078125,0.0078125,0,8,0
burden_proxy,2,source_frozen_transfer vs winner_replay,proxy_rank_score,-0.11861935130971446,-0.10942412714022642,-0.2109954075888152,-0.04914764110279901,-0.15241856590955635,-0.08788335768544478,0.0078125,0.0078125,0,8,0
burden_proxy,2,source_frozen_transfer vs native_safeguarded_retune,proxy_rank_score,-0.9019286151054626,-0.8796636068005826,-1.1336302765499682,-0.7113782283003409,-1.0043782252558215,-0.8047376851434503,0.0078125,0.0078125,0,8,0
success_burden_proxy,1,source_frozen_transfer vs topk_expected_consequence,proxy_rank_score,-0.5210706247872446,-0.22894021775957563,-2.9107118471902993,0.5920578200053601,-1.28969734332682,0.013397927806020655,0.0703125,0.125,1,7,0
success_burden_proxy,1,source_frozen_transfer vs winner_replay,proxy_rank_score,-1.850505096646783,-0.7814786143385999,-8.646803662429523,-0.2531158657998712,-3.8991479318799422,-0.5672649833740357,0.0078125,0.0078125,0,8,0
success_burden_proxy,1,source_frozen_transfer vs native_safeguarded_retune,proxy_rank_score,-7.187719064979723,-3.3314438705864595,-23.688871238753055,-0.8330275527034252,-12.931307167125624,-2.6042621495449336,0.0078125,0.0078125,0,8,0
success_burden_proxy,2,source_frozen_transfer vs topk_expected_consequence,proxy_rank_score,-0.5810406855210759,-0.1874809302549567,-2.730307072028271,0.12231627931645317,-1.2762777870519495,-0.07652439552603904,0.2890625,0.0546875,2,6,0
success_burden_proxy,2,source_frozen_transfer vs winner_replay,proxy_rank_score,-1.0879227859910165,-0.3747917892643664,-4.9650139748009146,0.10920405733498584,-2.3305585652287166,-0.19683250665663019,0.0703125,0.0234375,1,7,0
success_burden_proxy,2,source_frozen_transfer vs native_safeguarded_retune,proxy_rank_score,-9.301411139504108,-4.598202689132267,-28.98728000748283,-0.749975261457896,-16.421681785465093,-3.3894273472084033,0.0078125,0.0078125,0,8,0
