proxy,budget,variant,mean_rank_score,rank,product_proxy_rank,spearman_with_product_ordering,rank_ordering
recovery_aware_proxy,1,winner_replay,0.06555180418662035,3.0,3.0,0.9999999999999998,source_frozen_transfer > topk_expected_consequence > winner_replay > anchored_retune > native_safeguarded_retune > phase3_proposed > native_unconstrained_retune > phase3_oracle_upgrade
recovery_aware_proxy,1,anchored_retune,0.018290880123012207,4.0,4.0,0.9999999999999998,source_frozen_transfer > topk_expected_consequence > winner_replay > anchored_retune > native_safeguarded_retune > phase3_proposed > native_unconstrained_retune > phase3_oracle_upgrade
recovery_aware_proxy,1,native_safeguarded_retune,0.01627340195204295,5.0,5.0,0.9999999999999998,source_frozen_transfer > topk_expected_consequence > winner_replay > anchored_retune > native_safeguarded_retune > phase3_proposed > native_unconstrained_retune > phase3_oracle_upgrade
recovery_aware_proxy,1,native_unconstrained_retune,0.0,7.5,7.5,0.9999999999999998,source_frozen_transfer > topk_expected_consequence > winner_replay > anchored_retune > native_safeguarded_retune > phase3_proposed > native_unconstrained_retune > phase3_oracle_upgrade
recovery_aware_proxy,1,phase3_proposed,0.0009174267916492041,6.0,6.0,0.9999999999999998,source_frozen_transfer > topk_expected_consequence > winner_replay > anchored_retune > native_safeguarded_retune > phase3_proposed > native_unconstrained_retune > phase3_oracle_upgrade
recovery_aware_proxy,1,phase3_oracle_upgrade,0.0,7.5,7.5,0.9999999999999998,source_frozen_transfer > topk_expected_consequence > winner_replay > anchored_retune > native_safeguarded_retune > phase3_proposed > native_unconstrained_retune > phase3_oracle_upgrade
burden_proxy,1,source_frozen_transfer,-0.728516555191672,8.0,1.0,-0.9999999999999998,native_unconstrained_retune > phase3_oracle_upgrade > phase3_proposed > native_safeguarded_retune > anchored_retune > winner_replay > topk_expected_consequence > source_frozen_transfer
burden_proxy,1,topk_expected_consequence,-0.6563817565562684,7.0,2.0,-0.9999999999999998,native_unconstrained_retune > phase3_oracle_upgrade > phase3_proposed > native_safeguarded_retune > anchored_retune > winner_replay > topk_expected_consequence > source_frozen_transfer
burden_proxy,1,winner_replay,-0.5514588079166185,6.0,3.0,-0.9999999999999998,native_unconstrained_retune > phase3_oracle_upgrade > phase3_proposed > native_safeguarded_retune > anchored_retune > winner_replay > topk_expected_consequence > source_frozen_transfer
burden_proxy,1,anchored_retune,-0.08015830444937984,5.0,4.0,-0.9999999999999998,native_unconstrained_retune > phase3_oracle_upgrade > phase3_proposed > native_safeguarded_retune > anchored_retune > winner_replay > topk_expected_consequence > source_frozen_transfer
burden_proxy,1,native_safeguarded_retune,-0.06261100572247372,4.0,5.0,-0.9999999999999998,native_unconstrained_retune > phase3_oracle_upgrade > phase3_proposed > native_safeguarded_retune > anchored_retune > winner_replay > topk_expected_consequence > source_frozen_transfer
burden_proxy,1,native_unconstrained_retune,-0.004464544705489036,1.5,7.5,-0.9999999999999998,native_unconstrained_retune > phase3_oracle_upgrade > phase3_proposed > native_safeguarded_retune > anchored_retune > winner_replay > topk_expected_consequence > source_frozen_transfer
burden_proxy,1,phase3_proposed,-0.01101311508018763,3.0,6.0,-0.9999999999999998,native_unconstrained_retune > phase3_oracle_upgrade > phase3_proposed > native_safeguarded_retune > anchored_retune > winner_replay > topk_expected_consequence > source_frozen_transfer
burden_proxy,1,phase3_oracle_upgrade,-0.004464544705489036,1.5,7.5,-0.9999999999999998,native_unconstrained_retune > phase3_oracle_upgrade > phase3_proposed > native_safeguarded_retune > anchored_retune > winner_replay > topk_expected_consequence > source_frozen_transfer
success_burden_proxy,1,source_frozen_transfer,-7.637418300660023,8.0,1.0,-0.9999999999999998,native_unconstrained_retune > phase3_oracle_upgrade > phase3_proposed > native_safeguarded_retune > anchored_retune > winner_replay > topk_expected_consequence > source_frozen_transfer
success_burden_proxy,1,topk_expected_consequence,-7.116347675872778,7.0,2.0,-0.9999999999999998,native_unconstrained_retune > phase3_oracle_upgrade > phase3_proposed > native_safeguarded_retune > anchored_retune > winner_replay > topk_expected_consequence > source_frozen_transfer
success_burden_proxy,1,winner_replay,-5.786913204013239,6.0,3.0,-0.9999999999999998,native_unconstrained_retune > phase3_oracle_upgrade > phase3_proposed > native_safeguarded_retune > anchored_retune > winner_replay > topk_expected_consequence > source_frozen_transfer
success_burden_proxy,1,anchored_retune,-0.7132212075452673,5.0,4.0,-0.9999999999999998,native_unconstrained_retune > phase3_oracle_upgrade > phase3_proposed > native_safeguarded_retune > anchored_retune > winner_replay > topk_expected_consequence > source_frozen_transfer
success_burden_proxy,1,native_safeguarded_retune,-0.4496992356803004,4.0,5.0,-0.9999999999999998,native_unconstrained_retune > phase3_oracle_upgrade > phase3_proposed > native_safeguarded_retune > anchored_retune > winner_replay > topk_expected_consequence > source_frozen_transfer
success_burden_proxy,1,native_unconstrained_retune,-0.05001941878865619,1.5,7.5,-0.9999999999999998,native_unconstrained_retune > phase3_oracle_upgrade > phase3_proposed > native_safeguarded_retune > anchored_retune > winner_replay > topk_expected_consequence > source_frozen_transfer
success_burden_proxy,1,phase3_proposed,-0.14466097823979246,3.0,6.0,-0.9999999999999998,native_unconstrained_retune > phase3_oracle_upgrade > phase3_proposed > native_safeguarded_retune > anchored_retune > winner_replay > topk_expected_consequence > source_frozen_transfer
