method,B,block_id,block_name,jobs,attack_jobs,clean_jobs,served_jobs,served_attack_jobs,served_clean_jobs,total_attack_mass,served_attack_mass,backend_success_attack_mass,block_recall,backend_fail,recover_fail
source_frozen_transfer,2,0,strong3_front,120,120,0,24,24,0,125.99999999999997,25.199999999999996,16.799999999999997,0.13333333333333333,8,0
source_frozen_transfer,2,1,clean_after_strong3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
source_frozen_transfer,2,2,strong2_mid,89,89,0,89,89,0,44.5,44.5,4.0,0.0898876404494382,81,2
source_frozen_transfer,2,3,clean_mid,9,0,9,9,0,9,0.0,0.0,0.0,0.0,9,1
source_frozen_transfer,2,4,weak1_late,47,47,0,47,47,0,7.05,7.05,0.15,0.02127659574468085,46,1
source_frozen_transfer,2,5,clean_tail,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
topk_expected_consequence,2,0,strong3_front,120,120,0,24,24,0,125.99999999999997,25.199999999999996,14.699999999999998,0.11666666666666667,10,0
topk_expected_consequence,2,1,clean_after_strong3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
topk_expected_consequence,2,2,strong2_mid,89,89,0,82,82,0,44.5,41.0,3.0,0.06741573033707865,76,2
topk_expected_consequence,2,3,clean_mid,9,0,9,9,0,9,0.0,0.0,0.0,0.0,9,1
topk_expected_consequence,2,4,weak1_late,47,47,0,47,47,0,7.05,7.05,0.15,0.02127659574468085,46,1
topk_expected_consequence,2,5,clean_tail,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
winner_replay,2,0,strong3_front,120,120,0,18,18,0,125.99999999999997,18.9,14.699999999999998,0.11666666666666667,4,0
winner_replay,2,1,clean_after_strong3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
winner_replay,2,2,strong2_mid,89,89,0,84,84,0,44.5,42.0,3.0,0.06741573033707865,78,2
winner_replay,2,3,clean_mid,9,0,9,8,0,8,0.0,0.0,0.0,0.0,8,1
winner_replay,2,4,weak1_late,47,47,0,47,47,0,7.05,7.05,0.15,0.02127659574468085,46,1
winner_replay,2,5,clean_tail,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
TRBG-source,2,0,strong3_front,120,120,0,23,23,0,125.99999999999997,24.149999999999995,16.799999999999997,0.13333333333333333,7,0
TRBG-source,2,1,clean_after_strong3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
TRBG-source,2,2,strong2_mid,89,89,0,89,89,0,44.5,44.5,4.0,0.0898876404494382,81,2
TRBG-source,2,3,clean_mid,9,0,9,6,0,6,0.0,0.0,0.0,0.0,6,0
TRBG-source,2,4,weak1_late,47,47,0,45,45,0,7.05,6.75,0.0,0.0,45,1
TRBG-source,2,5,clean_tail,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
