method,calibration_mode,holdout_id,B,alpha,fail_cap_quantile,recall,scheduler_recall,backend_fail,cost,unnecessary,served_ratio,served_attack_mass,backend_success_attack_mass,clean_service,served_clean_count,served_attack_count,recover_fail,recover_fail_attack,recover_fail_clean,delay_p50,delay_p95,average_service_time,average_service_cost,total_service_cost,actual_backend_fail_used_in_decision,actual_recover_fail_used_in_decision,fail_cap_threshold,grid_type,recall_retention_vs_source,backend_fail_reduction_vs_source,selection_rule_passed
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,0.0,0.8,0.6463963963963965,0.6463963963963965,5,11.116124197593294,5,0.49640287769784175,58.8,57.4,5,5,133,0,0,0,0.0,8.0,8.574655589850053,43.497877294930284,6002.707066700379,False,False,0.09090909090909091,secondary_hardcap,1.0000000000000018,-0.25,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,0.0,0.8,0.9087837837837839,0.9087837837837839,10,20.50397402722903,104,0.9712230215827338,82.1,80.7,104,104,166,0,0,0,0.0,2.0,7.389235784389355,41.00794805445806,11072.145974703677,False,False,0.09090909090909091,secondary_hardcap,1.0000000000000002,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,0.0,0.9,0.6463963963963965,0.6463963963963965,4,11.302026351808568,5,0.49280575539568344,58.4,57.4,5,5,132,0,0,0,0.0,8.0,8.68497362972176,44.54813306552282,6103.094229976627,False,False,0.12454545454545549,secondary_hardcap,1.0000000000000018,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,0.0,0.9,0.9087837837837839,0.9087837837837839,10,20.50397402722903,104,0.9712230215827338,82.1,80.7,104,104,166,0,0,0,0.0,2.0,7.389235784389355,41.00794805445806,11072.145974703677,False,False,0.12454545454545549,secondary_hardcap,1.0000000000000002,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,0.0,0.95,0.6463963963963965,0.6463963963963965,4,11.378892288285153,5,0.49280575539568344,58.4,57.4,5,5,132,0,0,0,0.0,8.0,8.726556301116943,44.85110828959111,6144.601835673982,False,False,0.18181818181818182,secondary_hardcap,1.0000000000000018,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,0.0,0.95,0.9087837837837839,0.9087837837837839,10,20.50397402722903,104,0.9712230215827338,82.1,80.7,104,104,166,0,0,0,0.0,2.0,7.389235784389355,41.00794805445806,11072.145974703677,False,False,0.18181818181818182,secondary_hardcap,1.0000000000000002,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,0.0,1.0,0.6463963963963965,0.6463963963963953,4,11.378892288285153,5,0.49280575539568344,58.4,57.4,5,5,132,0,0,0,0.0,8.0,8.726556301116943,44.85110828959111,6144.601835673982,False,False,inf,primary_soft,1.0,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,0.0,1.0,0.9087837837837839,0.9087837837837837,10,20.50397402722903,104,0.9712230215827338,82.1,80.7,104,104,166,0,0,0,0.0,2.0,7.389235784389355,41.00794805445806,11072.145974703677,False,False,inf,primary_soft,1.0,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,0.1,0.8,0.6216216216216216,0.6216216216216216,5,10.705851186258222,5,0.48201438848920863,56.6,55.199999999999996,5,5,129,0,0,0,0.0,8.0,8.781470514055508,43.14298239238388,5781.15964057944,False,False,0.09090909090909091,secondary_hardcap,0.9616724738675974,-0.25,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,0.1,0.8,0.9042792792792793,0.9042792792792793,10,20.288555472364866,104,0.9640287769784173,81.7,80.3,104,104,164,0,0,0,0.0,1.6499999999999773,7.465687919908495,40.879925205511306,10955.819955077028,False,False,0.09090909090909091,secondary_hardcap,0.9950433705080547,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,0.1,0.9,0.6216216216216216,0.6216216216216216,4,10.891753340473494,5,0.4784172661870504,56.199999999999996,55.199999999999996,5,5,128,0,0,0,0.0,8.0,8.896661389142947,44.222156419967575,5881.546803855687,False,False,0.12454545454545549,secondary_hardcap,0.9616724738675974,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,0.1,0.9,0.9042792792792793,0.9042792792792793,10,20.288555472364866,104,0.9640287769784173,81.7,80.3,104,104,164,0,0,0,0.0,1.6499999999999773,7.465687919908495,40.879925205511306,10955.819955077028,False,False,0.12454545454545549,secondary_hardcap,0.9950433705080547,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,0.1,0.95,0.6216216216216216,0.6216216216216216,4,10.96861927695008,5,0.4784172661870504,56.199999999999996,55.199999999999996,5,5,128,0,0,0,0.0,8.0,8.939494667196632,44.53424368084995,5923.054409553043,False,False,0.18181818181818182,secondary_hardcap,0.9616724738675974,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,0.1,0.95,0.9042792792792793,0.9042792792792793,10,20.288555472364866,104,0.9640287769784173,81.7,80.3,104,104,164,0,0,0,0.0,1.6499999999999773,7.465687919908495,40.879925205511306,10955.819955077028,False,False,0.18181818181818182,secondary_hardcap,0.9950433705080547,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,0.1,1.0,0.6216216216216216,0.6216216216216206,4,10.96861927695008,5,0.4784172661870504,56.199999999999996,55.199999999999996,5,5,128,0,0,0,0.0,8.0,8.939494667196632,44.53424368084995,5923.054409553043,False,False,inf,primary_soft,0.9616724738675958,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,0.1,1.0,0.9042792792792793,0.9042792792792791,10,20.288555472364866,104,0.9640287769784173,81.7,80.3,104,104,164,0,0,0,0.0,1.6499999999999773,7.465687919908495,40.879925205511306,10955.819955077028,False,False,inf,primary_soft,0.9950433705080545,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,0.25,0.8,0.6126126126126126,0.6126126126126126,5,10.610549825617216,6,0.4748201438848921,55.8,54.4,6,6,126,0,0,0,0.0,8.0,8.66181632424846,43.40679474116134,5729.696905833297,False,False,0.09090909090909091,secondary_hardcap,0.9477351916376321,-0.25,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,0.25,0.8,0.8930180180180181,0.8930180180180181,7,19.214027480919686,99,0.9316546762589928,80.7,79.3,99,99,160,0,0,0,0.0,2.0,7.616445707078146,40.060134516203206,10375.57483969663,False,False,0.09090909090909091,secondary_hardcap,0.982651796778191,0.3,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,0.25,0.9,0.6126126126126126,0.6126126126126126,4,10.803039246731682,6,0.4712230215827338,55.4,54.4,6,6,125,0,0,0,0.0,8.0,8.949832492202292,44.53161216210007,5833.641193235108,False,False,0.12454545454545549,secondary_hardcap,0.9477351916376321,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,0.25,0.9,0.8930180180180181,0.8930180180180181,7,19.214027480919686,99,0.9316546762589928,80.7,79.3,99,99,160,0,0,0,0.0,2.0,7.616445707078146,40.060134516203206,10375.57483969663,False,False,0.12454545454545549,secondary_hardcap,0.982651796778191,0.3,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,0.25,0.95,0.6126126126126126,0.6126126126126126,4,10.815505384116069,6,0.4712230215827338,55.4,54.4,6,6,125,0,0,0,0.0,8.0,8.982811492818003,44.582999293302876,5840.372907422677,False,False,0.18181818181818182,secondary_hardcap,0.9477351916376321,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,0.25,0.95,0.8930180180180181,0.8930180180180181,7,19.214027480919686,99,0.9316546762589928,80.7,79.3,99,99,160,0,0,0,0.0,2.0,7.616445707078146,40.060134516203206,10375.57483969663,False,False,0.18181818181818182,secondary_hardcap,0.982651796778191,0.3,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,0.25,1.0,0.6126126126126126,0.6126126126126117,4,10.815505384116069,6,0.4712230215827338,55.4,54.4,6,6,125,0,0,0,0.0,8.0,8.982811492818003,44.582999293302876,5840.372907422677,False,False,inf,primary_soft,0.9477351916376308,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,0.25,1.0,0.8930180180180181,0.8930180180180178,7,19.214027480919686,99,0.9316546762589928,80.7,79.3,99,99,160,0,0,0,0.0,2.0,7.616445707078146,40.060134516203206,10375.57483969663,False,False,inf,primary_soft,0.9826517967781908,0.3,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,0.5,0.8,0.5990990990990991,0.5990990990990991,5,12.702857060057312,41,0.5827338129496403,54.4,53.199999999999996,41,41,121,0,0,0,0.0,8.0,7.622533639272054,42.34285686685771,6859.542812430948,False,False,0.09090909090909091,secondary_hardcap,0.9268292682926844,-0.25,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,0.5,0.8,0.8885135135135135,0.8885135135135135,6,19.115675983705,99,0.920863309352518,80.1,78.89999999999999,99,99,157,0,0,0,0.0,1.0,7.7755137756466866,40.32212902812773,10322.4650312007,False,False,0.09090909090909091,secondary_hardcap,0.9776951672862455,0.4,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,0.5,0.9,0.6081081081081081,0.6081081081081081,4,13.09904486246333,41,0.5863309352517986,54.8,54.0,41,41,122,0,0,0,0.0,8.0,7.837221464496449,43.39560874681103,7073.484225730198,False,False,0.12454545454545549,secondary_hardcap,0.9407665505226496,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,0.5,0.9,0.8885135135135135,0.8885135135135135,6,19.115675983705,99,0.920863309352518,80.1,78.89999999999999,99,99,157,0,0,0,0.0,1.0,7.7755137756466866,40.32212902812773,10322.4650312007,False,False,0.12454545454545549,secondary_hardcap,0.9776951672862455,0.4,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,0.5,0.95,0.6103603603603603,0.6103603603603603,4,13.345611529098512,41,0.5899280575539568,55.0,54.199999999999996,41,41,123,0,0,0,0.0,8.0,7.8294545891808305,43.942867229958516,7206.6302257131965,False,False,0.18181818181818182,secondary_hardcap,0.9442508710801408,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,0.5,0.95,0.8885135135135135,0.8885135135135135,6,19.115675983705,99,0.920863309352518,80.1,78.89999999999999,99,99,157,0,0,0,0.0,1.0,7.7755137756466866,40.32212902812773,10322.4650312007,False,False,0.18181818181818182,secondary_hardcap,0.9776951672862455,0.4,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,0.5,1.0,0.6103603603603603,0.6103603603603595,4,13.345611529098512,41,0.5899280575539568,55.0,54.199999999999996,41,41,123,0,0,0,0.0,8.0,7.8294545891808305,43.942867229958516,7206.6302257131965,False,False,inf,primary_soft,0.9442508710801395,0.0,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,0.5,1.0,0.8885135135135135,0.8885135135135133,6,19.115675983705,99,0.920863309352518,80.1,78.89999999999999,99,99,157,0,0,0,0.0,1.0,7.7755137756466866,40.32212902812773,10322.4650312007,False,False,inf,primary_soft,0.9776951672862452,0.4,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,1.0,0.8,0.5574324324324325,0.5574324324324325,3,11.854772443129532,49,0.5503597122302158,50.1,49.5,49,49,104,0,0,0,0.0,8.0,7.738286527932859,41.840373328692465,6401.577119289947,False,False,0.09090909090909091,secondary_hardcap,0.8623693379790955,0.25,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,1.0,0.8,0.865990990990991,0.865990990990991,5,18.082247498903953,99,0.8848920863309353,77.89999999999999,76.89999999999999,99,99,147,0,0,0,0.0,3.0,7.949770799497279,39.69273841222819,9764.413649408134,False,False,0.09090909090909091,secondary_hardcap,0.9529120198265181,0.5,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,1.0,0.9,0.588963963963964,0.588963963963964,3,12.580688567781754,49,0.5755395683453237,52.9,52.3,49,49,111,0,0,0,0.0,8.0,7.75495542883873,42.459823916263424,6793.571826602148,False,False,0.12454545454545549,secondary_hardcap,0.9111498257839736,0.25,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,1.0,0.9,0.865990990990991,0.865990990990991,5,18.082247498903953,99,0.8848920863309353,77.89999999999999,76.89999999999999,99,99,147,0,0,0,0.0,3.0,7.949770799497279,39.69273841222819,9764.413649408134,False,False,0.12454545454545549,secondary_hardcap,0.9529120198265181,0.5,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,1.0,0.95,0.6002252252252253,0.6002252252252253,3,12.914530768154096,49,0.5863309352517986,53.9,53.3,49,49,114,0,0,0,0.0,8.0,7.751126561428141,42.7843350601424,6973.846614803212,False,False,0.18181818181818182,secondary_hardcap,0.9285714285714302,0.25,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,1.0,0.95,0.8682432432432432,0.8682432432432432,5,18.136616976571514,99,0.8884892086330936,78.1,77.1,99,99,148,0,0,0,0.0,3.0,7.928179335497651,39.65090351153287,9793.773167348618,False,False,0.18181818181818182,secondary_hardcap,0.9553903345724908,0.5,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,1.0,1.0,0.6002252252252253,0.6002252252252244,3,12.914530768154096,49,0.5863309352517986,53.9,53.3,49,49,114,0,0,0,0.0,8.0,7.751126561428141,42.7843350601424,6973.846614803212,False,False,inf,primary_soft,0.9285714285714287,0.25,True
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,1.0,1.0,0.8682432432432432,0.8682432432432431,5,18.136616976571514,99,0.8884892086330936,78.1,77.1,99,99,148,0,0,0,0.0,3.0,7.928179335497651,39.65090351153287,9793.773167348618,False,False,inf,primary_soft,0.9553903345724907,0.5,True
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,2.0,0.8,0.375,0.375,1,10.261529390052813,97,0.539568345323741,33.3,33.3,97,97,53,0,0,0,0.0,6.0,6.678634374936422,36.94150580419013,5541.225870628519,False,False,0.09090909090909091,secondary_hardcap,0.5801393728223005,0.75,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,2.0,0.8,0.7387387387387387,0.7387387387387387,3,15.226895627287997,99,0.7553956834532374,66.0,65.6,99,99,111,0,0,0,0.0,4.0,8.046541699909028,39.15487447016913,8222.523638735518,False,False,0.09090909090909091,secondary_hardcap,0.8128872366790584,0.7,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,2.0,0.9,0.40653153153153154,0.40653153153153154,1,11.16709875849961,97,0.564748201438849,36.1,36.1,97,97,60,0,0,0,0.0,6.0,6.972137759445579,38.409129487833056,6030.23332958979,False,False,0.12454545454545549,secondary_hardcap,0.6289198606271788,0.75,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,2,2.0,0.9,0.7612612612612613,0.7612612612612613,3,15.828168981667295,99,0.7733812949640287,68.0,67.6,99,99,116,0,0,0,0.0,4.0,8.251070687937181,39.754470930699256,8547.21125010034,False,False,0.12454545454545549,secondary_hardcap,0.8376703841387857,0.7,False
transfer_regularized_burden_guard,TRBG-source,case14 source val,1,2.0,0.95,0.41103603603603606,0.41103603603603606,1,11.285069993924003,97,0.5683453237410072,36.5,36.5,97,97,61,0,0,0,0.0,6.0,6.9970159877704665,38.569226561512416,6093.937796718961,False,False,0.18181818181818182,secondary_hardcap,0.6358885017421614,0.75,False
