B,comparison,metric,mean_delta,median_delta,bootstrap95_ci_low,bootstrap95_ci_high,exact_sign_test_p,sign_flip_p,wins,losses,ties
1,TRBG-source vs winner_replay,recall,0.029943246371574663,0.02296804863780254,0.01684910943544241,0.04677795613751361,0.0078125,0.0078125,8,0,0
1,TRBG-source vs winner_replay,backend_fail,15.125,10.5,7.0,24.625,0.015625,0.015625,7,0,1
1,TRBG-source vs winner_replay,cost,0.06440265701981429,0.05532211866944653,0.0045053702885016825,0.12649483561713254,0.2890625,0.09375,6,2,0
1,TRBG-source vs winner_replay,unnecessary,-0.625,-0.5,-3.25,2.0,1.0,0.734375,3,4,1
1,TRBG-source vs winner_replay,recover_fail,1.5,1.5,0.125,2.875,0.453125,0.125,5,2,1
1,TRBG-source vs winner_replay,recall_per_backend_fail,0.00018904001086448153,0.00016764607410873524,3.970797794342337e-05,0.00034501178030092733,0.2890625,0.0546875,6,2,0
1,TRBG-source vs winner_replay,recall_per_cost,0.03343793098376794,0.016294097444426447,-0.007109686181422188,0.0863548520043146,0.7265625,0.25,5,3,0
1,TRBG-source vs winner_replay,served_attack_mass,12.90625,6.675000000000001,5.4125,21.906406249999996,0.0078125,0.0078125,8,0,0
1,TRBG-source vs winner_replay,backend_success_attack_mass,3.36875,2.375,1.8437500000000004,5.450156249999998,0.0078125,0.0078125,8,0,0
1,TRBG-native-burden vs winner_replay,recall,0.029862078639404828,0.028844178045792996,0.02262772331313931,0.03790564259667573,0.0078125,0.0078125,8,0,0
1,TRBG-native-burden vs winner_replay,backend_fail,22.5,18.0,16.5,29.75,0.0078125,0.0078125,8,0,0
1,TRBG-native-burden vs winner_replay,cost,0.08503284279936979,0.0889558956938071,0.04590798807468496,0.11991948038743676,0.0703125,0.015625,7,1,0
1,TRBG-native-burden vs winner_replay,unnecessary,0.5,0.5,-2.125,3.125,1.0,0.796875,4,3,1
1,TRBG-native-burden vs winner_replay,recover_fail,2.0,2.0,1.0,3.125,0.03125,0.03125,6,0,2
1,TRBG-native-burden vs winner_replay,recall_per_backend_fail,0.00012719638754518566,0.0001381391067354729,3.040041855022117e-05,0.0002209180263275929,0.0703125,0.046875,7,1,0
1,TRBG-native-burden vs winner_replay,recall_per_cost,0.02955390323047531,0.033018973538897364,-0.0062624787539967,0.06744737437358009,0.7265625,0.203125,5,3,0
1,TRBG-native-burden vs winner_replay,served_attack_mass,16.84375,11.625,10.95,23.475,0.0078125,0.0078125,8,0,0
1,TRBG-native-burden vs winner_replay,backend_success_attack_mass,3.4749999999999996,3.375,2.4875,4.58125,0.0078125,0.0078125,8,0,0
2,TRBG-source vs source_frozen_transfer,recall,-0.006855165755676507,-0.0029972752043596756,-0.020099831875710225,0.0043851154383809515,0.6875,0.40625,2,4,2
2,TRBG-source vs source_frozen_transfer,backend_fail,-9.75,-10.5,-15.25,-3.875,0.2890625,0.03125,2,6,0
2,TRBG-source vs source_frozen_transfer,cost,-0.044668377121129976,-0.04421428143158729,-0.09154005329985998,-0.0008850241299636481,0.2890625,0.1015625,2,6,0
2,TRBG-source vs source_frozen_transfer,unnecessary,-7.5,-8.0,-10.0,-4.75,0.015625,0.015625,0,7,1
2,TRBG-source vs source_frozen_transfer,recover_fail,-0.5,-0.5,-1.375,0.25,0.6875,0.5,2,4,2
2,TRBG-source vs source_frozen_transfer,recall_per_backend_fail,5.767118298896163e-05,7.420678798238491e-05,-4.0255176669699974e-05,0.0001445413034193744,0.2890625,0.2578125,6,2,0
2,TRBG-source vs source_frozen_transfer,recall_per_cost,0.013146136412328844,0.021778368527404238,-0.020622412122986735,0.04475008251718557,0.7265625,0.484375,5,3,0
2,TRBG-source vs source_frozen_transfer,served_attack_mass,0.6062499999999993,0.3500000000000014,-3.8062500000000004,5.269062499999993,0.2890625,0.5703125,6,2,0
2,TRBG-source vs source_frozen_transfer,backend_success_attack_mass,-0.8125000000000002,-0.27500000000000036,-2.6312500000000005,0.6250000000000004,0.6875,0.5,2,4,2
2,TRBG-native-burden vs source_frozen_transfer,recall,-0.006497742529824074,-0.005549597817938026,-0.018511963461379476,0.003797362297194381,0.453125,0.375,2,5,1
2,TRBG-native-burden vs source_frozen_transfer,backend_fail,-5.125,-6.0,-8.5,-1.25,0.0703125,0.046875,1,7,0
2,TRBG-native-burden vs source_frozen_transfer,cost,-0.03764848520799188,-0.04724903457963503,-0.07249854134107413,-0.0009058644867795904,0.2890625,0.1015625,2,6,0
2,TRBG-native-burden vs source_frozen_transfer,unnecessary,-7.625,-8.5,-10.125,-4.875,0.015625,0.015625,0,7,1
2,TRBG-native-burden vs source_frozen_transfer,recover_fail,-0.375,0.0,-1.25,0.375,1.0,0.6875,2,3,3
2,TRBG-native-burden vs source_frozen_transfer,recall_per_backend_fail,-1.6662599688274093e-05,2.1731872408294137e-05,-0.00013411284954111807,9.039479481038647e-05,0.7265625,0.84375,5,3,0
2,TRBG-native-burden vs source_frozen_transfer,recall_per_cost,0.010309749152714473,0.017925518169038215,-0.016112737179812354,0.03132968725243161,0.2890625,0.4921875,6,2,0
2,TRBG-native-burden vs source_frozen_transfer,served_attack_mass,3.393749999999999,2.724999999999998,1.4687500000000009,5.406249999999996,0.2890625,0.03125,6,2,0
2,TRBG-native-burden vs source_frozen_transfer,backend_success_attack_mass,-0.7437500000000004,-0.5250000000000004,-2.450000000000001,0.6437500000000003,0.453125,0.53125,2,5,1
2,TRBG-source vs topk_expected_consequence,recall,0.03821301669925384,0.03513843403334009,0.022352850097351225,0.055428378886659316,0.0078125,0.0078125,8,0,0
2,TRBG-source vs topk_expected_consequence,backend_fail,-3.625,1.5,-13.0,5.6281249999999545,0.7265625,0.5625,5,3,0
2,TRBG-source vs topk_expected_consequence,cost,0.016810311556105774,0.024486235342068008,-0.031231825349535683,0.0650588487778809,0.7265625,0.5390625,5,3,0
2,TRBG-source vs topk_expected_consequence,unnecessary,-7.5,-8.5,-9.875,-4.75,0.015625,0.015625,0,7,1
2,TRBG-source vs topk_expected_consequence,recover_fail,0.0,-0.5,-0.75,0.75,1.0,1.0,3,4,1
2,TRBG-source vs topk_expected_consequence,recall_per_backend_fail,0.0003741257209313808,0.0002967912716072122,0.00019910201079488028,0.0005942082930612884,0.0078125,0.0078125,8,0,0
2,TRBG-source vs topk_expected_consequence,recall_per_cost,0.06337748264900199,0.06447763469014185,0.02120540112884699,0.11078228043781936,0.0703125,0.0234375,7,1,0
2,TRBG-source vs topk_expected_consequence,served_attack_mass,7.943749999999999,7.025000000000002,1.187343750000002,14.668749999999996,0.0703125,0.0703125,7,1,0
2,TRBG-source vs topk_expected_consequence,backend_success_attack_mass,4.074999999999999,3.575000000000001,2.67484375,5.556249999999999,0.0078125,0.0078125,8,0,0
2,TRBG-native-burden vs topk_expected_consequence,recall,0.038570439925106274,0.031202489475756393,0.026413743437821654,0.05383219769866589,0.0078125,0.0078125,8,0,0
2,TRBG-native-burden vs topk_expected_consequence,backend_fail,1.0,1.0,-5.125,7.0,1.0,0.78125,4,4,0
2,TRBG-native-burden vs topk_expected_consequence,cost,0.023830203469243867,0.020287234090571232,-0.01560711257652836,0.06398775160433728,1.0,0.296875,4,4,0
2,TRBG-native-burden vs topk_expected_consequence,unnecessary,-7.625,-9.0,-10.0,-4.75,0.015625,0.015625,0,7,1
2,TRBG-native-burden vs topk_expected_consequence,recover_fail,0.125,0.0,-0.5,0.875,1.0,1.0,3,3,2
2,TRBG-native-burden vs topk_expected_consequence,recall_per_backend_fail,0.00029979193825414505,0.0002742135858057486,0.00018351582508125682,0.0004482129036028254,0.0078125,0.0078125,8,0,0
2,TRBG-native-burden vs topk_expected_consequence,recall_per_cost,0.06054109538938762,0.05967812518108477,0.024775704501245284,0.09709764008214136,0.0703125,0.03125,7,1,0
2,TRBG-native-burden vs topk_expected_consequence,served_attack_mass,10.73125,10.175,6.949843749999999,14.275156249999993,0.0078125,0.0078125,8,0,0
2,TRBG-native-burden vs topk_expected_consequence,backend_success_attack_mass,4.143749999999999,3.9749999999999996,3.162499999999999,5.343749999999998,0.0078125,0.0078125,8,0,0
2,TRBG-source vs winner_replay,recall,0.04397388744632495,0.038423235266780764,0.029297877654359768,0.05935892251672578,0.0078125,0.0078125,8,0,0
2,TRBG-source vs winner_replay,backend_fail,2.5,9.0,-7.0,11.25,0.7265625,0.6171875,5,3,0
2,TRBG-source vs winner_replay,cost,0.05580671564722478,0.06489152142415452,0.0030541344007901476,0.10571010966717699,0.2890625,0.09375,6,2,0
2,TRBG-source vs winner_replay,unnecessary,-1.5,-1.0,-3.75,0.625,1.0,0.296875,3,4,1
2,TRBG-source vs winner_replay,recover_fail,0.5,0.5,-0.125,1.125,0.375,0.3125,4,1,3
2,TRBG-source vs winner_replay,recall_per_backend_fail,0.0003798492390244976,0.0003169976049534087,0.00018544462879026364,0.0005838130905056794,0.0703125,0.015625,7,1,0
2,TRBG-source vs winner_replay,recall_per_cost,0.05858828352022406,0.05417071494045292,0.0011990262762611832,0.11460004789012039,0.2890625,0.109375,6,2,0
2,TRBG-source vs winner_replay,served_attack_mass,8.5,9.5,3.006249999999998,14.056249999999999,0.0703125,0.0390625,7,1,0
2,TRBG-source vs winner_replay,backend_success_attack_mass,4.887499999999999,4.600000000000001,3.3310937499999986,6.549999999999999,0.0078125,0.0078125,8,0,0
2,TRBG-native-burden vs winner_replay,recall,0.04433131067217738,0.04283497597967352,0.03317607851326281,0.055971265729484965,0.0078125,0.0078125,8,0,0
2,TRBG-native-burden vs winner_replay,backend_fail,7.125,5.5,1.0,13.375,0.2890625,0.0859375,6,2,0
2,TRBG-native-burden vs winner_replay,cost,0.06282660756036287,0.06368270458212663,0.017334485974451683,0.10299608820788039,0.0703125,0.0390625,7,1,0
2,TRBG-native-burden vs winner_replay,unnecessary,-1.625,-1.0,-3.75,0.375,0.453125,0.25,2,5,1
2,TRBG-native-burden vs winner_replay,recover_fail,0.625,1.0,0.0,1.25,0.21875,0.1875,5,1,2
2,TRBG-native-burden vs winner_replay,recall_per_backend_fail,0.0003055154563472618,0.00031090459749955654,0.00017121145559655028,0.0004379533025948236,0.0703125,0.015625,7,1,0
2,TRBG-native-burden vs winner_replay,recall_per_cost,0.055751896260609696,0.04319374353381761,0.006603409793261081,0.10632537688743986,0.2890625,0.078125,6,2,0
2,TRBG-native-burden vs winner_replay,served_attack_mass,11.287499999999998,10.524999999999995,8.71859375,14.6875,0.0078125,0.0078125,8,0,0
2,TRBG-native-burden vs winner_replay,backend_success_attack_mass,4.956249999999999,4.6499999999999995,3.8312499999999994,6.093906249999998,0.0078125,0.0078125,8,0,0
