method,calibration_mode,alpha,fail_cap_quantile,B,n,recall,recall_median,scheduler_recall,scheduler_recall_median,backend_fail,backend_fail_median,cost,cost_median,unnecessary,unnecessary_median,served_ratio,served_ratio_median,served_attack_mass,served_attack_mass_median,backend_success_attack_mass,backend_success_attack_mass_median,clean_service,clean_service_median,recover_fail,recover_fail_median,delay_p50,delay_p50_median,delay_p95,delay_p95_median,average_service_time,average_service_time_median,average_service_cost,average_service_cost_median
TRBG-native-burden,TRBG-native-burden,0.0,0.8,1,8,0.09165344704797702,0.0968815415821501,0.09165344704797702,0.0968815415821501,102.75,96.5,0.38810656132903876,0.37500724609216063,13.5,15.5,0.5657872606734398,0.563185824788631,44.537499999999994,43.875,10.29375,9.75,13.5,15.5,6.125,7.0,0.125,0.0,7.9499999999999975,8.0,15.654045580277884,15.328183032414753,1.790577088029,1.7242248486344642
TRBG-native-burden,TRBG-native-burden,0.0,0.8,2,8,0.1772283346825436,0.191381320718355,0.1772283346825436,0.191381320718355,130.125,126.5,0.557481206663066,0.542169742470378,17.5,19.0,0.7545682624678727,0.7567259461924305,67.8125,61.824999999999996,19.96875,19.25,17.5,19.0,8.125,8.5,0.0,0.0,6.21875,7.0,20.01364647884522,18.22452804414511,1.905676029862784,1.8707527695708257
TRBG-native-burden,TRBG-native-burden,0.0,0.9,1,8,0.09165344704797702,0.0968815415821501,0.09165344704797702,0.0968815415821501,102.75,96.5,0.38810656132903876,0.37500724609216063,13.5,15.5,0.5657872606734398,0.563185824788631,44.537499999999994,43.875,10.29375,9.75,13.5,15.5,6.125,7.0,0.125,0.0,7.9499999999999975,8.0,15.654045580277884,15.328183032414753,1.790577088029,1.7242248486344642
TRBG-native-burden,TRBG-native-burden,0.0,0.9,2,8,0.1772283346825436,0.191381320718355,0.1772283346825436,0.191381320718355,130.125,126.5,0.557481206663066,0.542169742470378,17.5,19.0,0.7545682624678727,0.7567259461924305,67.8125,61.824999999999996,19.96875,19.25,17.5,19.0,8.125,8.5,0.0,0.0,6.21875,7.0,20.01364647884522,18.22452804414511,1.905676029862784,1.8707527695708257
TRBG-native-burden,TRBG-native-burden,0.0,0.95,1,8,0.09165344704797702,0.0968815415821501,0.09165344704797702,0.0968815415821501,102.75,96.5,0.38810656132903876,0.37500724609216063,13.5,15.5,0.5657872606734398,0.563185824788631,44.537499999999994,43.875,10.29375,9.75,13.5,15.5,6.125,7.0,0.125,0.0,7.9499999999999975,8.0,15.654045580277884,15.328183032414753,1.790577088029,1.7242248486344642
TRBG-native-burden,TRBG-native-burden,0.0,0.95,2,8,0.1772283346825436,0.191381320718355,0.1772283346825436,0.191381320718355,130.125,126.5,0.557481206663066,0.542169742470378,17.5,19.0,0.7545682624678727,0.7567259461924305,67.8125,61.824999999999996,19.96875,19.25,17.5,19.0,8.125,8.5,0.0,0.0,6.21875,7.0,20.01364647884522,18.22452804414511,1.905676029862784,1.8707527695708257
TRBG-native-burden,TRBG-native-burden,0.0,1.0,1,8,0.09165344704797702,0.0968815415821501,0.09165344704797701,0.0968815415821501,102.75,96.5,0.38810656132903876,0.37500724609216063,13.5,15.5,0.5657872606734398,0.563185824788631,44.537499999999994,43.875,10.29375,9.75,13.5,15.5,6.125,7.0,0.125,0.0,7.9499999999999975,8.0,15.654045580277884,15.328183032414753,1.790577088029,1.7242248486344642
TRBG-native-burden,TRBG-native-burden,0.0,1.0,2,8,0.1772283346825436,0.191381320718355,0.17722833468254356,0.19138132071835495,130.125,126.5,0.557481206663066,0.542169742470378,17.5,19.0,0.7545682624678727,0.7567259461924305,67.8125,61.824999999999996,19.96875,19.25,17.5,19.0,8.125,8.5,0.0,0.0,6.21875,7.0,20.01364647884522,18.22452804414511,1.905676029862784,1.8707527695708257
TRBG-native-burden,TRBG-native-burden,0.1,0.8,1,8,0.09165344704797702,0.0968815415821501,0.09165344704797702,0.0968815415821501,101.75,98.0,0.3962841280570807,0.3761791173432909,12.875,13.5,0.5614660112643595,0.5699598911991148,44.162499999999994,44.075,10.29375,9.75,12.875,13.5,6.125,7.0,0.25,0.0,7.893749999999997,8.324999999999996,15.724432592644805,15.204708997654052,1.8423839985308363,1.7606636833822926
TRBG-native-burden,TRBG-native-burden,0.1,0.8,2,8,0.17344760504941864,0.19220908188137587,0.17344760504941864,0.19220908188137587,129.625,125.5,0.5425930788639677,0.5355962036498365,16.75,18.0,0.7502035802438327,0.7513679890560876,67.69375,61.574999999999996,19.506249999999998,18.724999999999998,16.75,18.0,7.875,8.5,0.0,0.0,5.88749999999999,5.949999999999989,20.219913744035555,18.673357223980076,1.8715704214849311,1.9067716060359245
