method,B,holdout_id,proxy,proxy_kind,proxy_score,proxy_weighted_success,backend_fail,cost,recover_fail
source_frozen_transfer,1,cfD_tailheavy_1_seed20260622_off1440,product_proxy,positive,0.05468215994531784,8.0,76,0.2795578891297669,3
source_frozen_transfer,1,cfD_tailheavy_1_seed20260622_off1440,additive_proxy,positive,0.051060325303685414,24.799999999999997,76,0.2795578891297669,3
source_frozen_transfer,1,cfD_tailheavy_1_seed20260622_off1440,backend_success_proxy,positive,0.09049773755656107,8.0,76,0.2795578891297669,3
source_frozen_transfer,1,cfD_tailheavy_1_seed20260622_off1440,recovery_aware_proxy,positive,0.05726556907659271,8.0,76,0.2795578891297669,3
source_frozen_transfer,1,cfD_tailheavy_1_seed20260622_off1440,burden_proxy,burden,-0.5804190008946934,-110.86002917088645,76,0.2795578891297669,3
source_frozen_transfer,1,cfD_tailheavy_1_seed20260622_off1440,success_burden_proxy,signed,-0.8482165922962062,-47.430014585443224,76,0.2795578891297669,3
source_frozen_transfer,2,cfA_frontloaded_0_seed20260511_off1020,product_proxy,positive,0.19806023481368046,19.4,172,0.6016319469510765,10
source_frozen_transfer,2,cfA_frontloaded_0_seed20260511_off1020,additive_proxy,positive,0.1845365228534814,86.4,172,0.6016319469510765,10
source_frozen_transfer,2,cfA_frontloaded_0_seed20260511_off1020,backend_success_proxy,positive,0.8202959830866807,19.4,172,0.6016319469510765,10
source_frozen_transfer,2,cfA_frontloaded_0_seed20260511_off1020,recovery_aware_proxy,positive,0.206163655685441,19.4,172,0.6016319469510765,10
source_frozen_transfer,2,cfA_frontloaded_0_seed20260511_off1020,burden_proxy,burden,-1.1833071643184803,-278.07718361484285,172,0.6016319469510765,10
source_frozen_transfer,2,cfA_frontloaded_0_seed20260511_off1020,success_burden_proxy,signed,-30.012554011520752,-119.63859180742145,172,0.6016319469510765,10
source_frozen_transfer,2,cfA_frontloaded_1_seed20260512_off1080,product_proxy,positive,0.18864097363083168,18.6,168,0.7812281300187721,11
source_frozen_transfer,2,cfA_frontloaded_1_seed20260512_off1080,additive_proxy,positive,0.18024003429061292,84.1,168,0.7812281300187721,11
source_frozen_transfer,2,cfA_frontloaded_1_seed20260512_off1080,backend_success_proxy,positive,0.7484909456740443,18.6,168,0.7812281300187721,11
source_frozen_transfer,2,cfA_frontloaded_1_seed20260512_off1080,recovery_aware_proxy,positive,0.19703389830508475,18.6,168,0.7812281300187721,11
source_frozen_transfer,2,cfA_frontloaded_1_seed20260512_off1080,burden_proxy,burden,-1.1450928389453148,-267.95172431320367,168,0.7812281300187721,11
source_frozen_transfer,2,cfA_frontloaded_1_seed20260512_off1080,success_burden_proxy,signed,-20.078390474922454,-115.37586215660181,168,0.7812281300187721,11
source_frozen_transfer,2,cfB_backloaded_0_seed20260521_off1140,product_proxy,positive,0.196629213483146,24.49999999999999,133,0.6918275160619302,7
source_frozen_transfer,2,cfB_backloaded_0_seed20260521_off1140,additive_proxy,positive,0.19252106020135615,93.70000000000003,133,0.6918275160619302,7
source_frozen_transfer,2,cfB_backloaded_0_seed20260521_off1140,backend_success_proxy,positive,0.7216494845360822,24.49999999999999,133,0.6918275160619302,7
source_frozen_transfer,2,cfB_backloaded_0_seed20260521_off1140,recovery_aware_proxy,positive,0.20657672849915676,24.49999999999999,133,0.6918275160619302,7
source_frozen_transfer,2,cfB_backloaded_0_seed20260521_off1140,burden_proxy,burden,-1.0079589518601,-210.66342093876088,133,0.6918275160619302,7
