method,calibration_mode,holdout_id,B,alpha,fail_cap_quantile,recall,scheduler_recall,backend_fail,cost,unnecessary,served_ratio,served_attack_mass,backend_success_attack_mass,clean_service,served_clean_count,served_attack_count,recover_fail,recover_fail_attack,recover_fail_clean,delay_p50,delay_p95,average_service_time,average_service_cost,total_service_cost,actual_backend_fail_used_in_decision,actual_recover_fail_used_in_decision,fail_cap_threshold,grid_type,recall_retention_vs_source,backend_fail_reduction_vs_source,selection_rule_passed
transfer_regularized_burden_guard,TRBG-native-burden,explicit native case39 val,2,0.1,1.0,0.09751575824990731,0.0975157582499073,242,0.41046546532363914,30,0.6748166259168704,120.75,26.3,30,30,246,15,15,0,0.0,7.25,21.241786210433297,1.6061692121359794,443.3027025495303,False,False,inf,primary_soft,1.0,-0.004149377593360996,False
transfer_regularized_burden_guard,TRBG-native-burden,explicit native case39 val,1,0.25,0.8,0.0532072673340749,0.0532072673340749,204,0.3206896713564573,28,0.5501222493887531,82.14999999999999,14.35,28,28,197,14,14,0,0.0,8.0,15.08276433414883,1.5393104225109953,346.3448450649739,False,False,0.18181818181818182,secondary_hardcap,1.0,0.004878048780487805,False
transfer_regularized_burden_guard,TRBG-native-burden,explicit native case39 val,2,0.25,0.8,0.09751575824990731,0.09751575824990731,240,0.40316070611397326,27,0.6699266503667481,121.64999999999999,26.3,27,27,247,16,16,0,0.0,5.0,21.345356560101475,1.5891005934419384,435.4135626030911,False,False,0.18181818181818182,secondary_hardcap,1.0000000000000002,0.004149377593360996,False
transfer_regularized_burden_guard,TRBG-native-burden,explicit native case39 val,1,0.25,0.9,0.0532072673340749,0.0532072673340749,204,0.3206896713564573,28,0.5501222493887531,82.14999999999999,14.35,28,28,197,14,14,0,0.0,8.0,15.08276433414883,1.5393104225109953,346.3448450649739,False,False,0.18181818181818182,secondary_hardcap,1.0,0.004878048780487805,False
transfer_regularized_burden_guard,TRBG-native-burden,explicit native case39 val,2,0.25,0.9,0.09751575824990731,0.09751575824990731,240,0.40316070611397326,27,0.6699266503667481,121.64999999999999,26.3,27,27,247,16,16,0,0.0,5.0,21.345356560101475,1.5891005934419384,435.4135626030911,False,False,0.18181818181818182,secondary_hardcap,1.0000000000000002,0.004149377593360996,False
transfer_regularized_burden_guard,TRBG-native-burden,explicit native case39 val,1,0.25,0.95,0.0532072673340749,0.0532072673340749,204,0.3206896713564573,28,0.5501222493887531,82.14999999999999,14.35,28,28,197,14,14,0,0.0,8.0,15.08276433414883,1.5393104225109953,346.3448450649739,False,False,0.18181818181818182,secondary_hardcap,1.0,0.004878048780487805,False
transfer_regularized_burden_guard,TRBG-native-burden,explicit native case39 val,2,0.25,0.95,0.09751575824990731,0.09751575824990731,240,0.40316070611397326,27,0.6699266503667481,121.64999999999999,26.3,27,27,247,16,16,0,0.0,5.0,21.345356560101475,1.5891005934419384,435.4135626030911,False,False,0.18181818181818182,secondary_hardcap,1.0000000000000002,0.004149377593360996,False
transfer_regularized_burden_guard,TRBG-native-burden,explicit native case39 val,1,0.25,1.0,0.0532072673340749,0.0532072673340749,204,0.3206896713564573,28,0.5501222493887531,82.14999999999999,14.35,28,28,197,14,14,0,0.0,8.0,15.08276433414883,1.5393104225109953,346.3448450649739,False,False,inf,primary_soft,1.0,0.004878048780487805,False
transfer_regularized_burden_guard,TRBG-native-burden,explicit native case39 val,2,0.25,1.0,0.09751575824990731,0.0975157582499073,240,0.40316070611397326,27,0.6699266503667481,121.64999999999999,26.3,27,27,247,16,16,0,0.0,5.0,21.345356560101475,1.5891005934419384,435.4135626030911,False,False,inf,primary_soft,1.0,0.004149377593360996,False
transfer_regularized_burden_guard,TRBG-native-burden,explicit native case39 val,1,0.5,0.8,0.0532072673340749,0.0532072673340749,196,0.2969153340298716,24,0.530562347188264,77.95,14.35,24,24,193,13,13,0,0.0,8.0,15.620955879237794,1.4777353030058125,320.6685607522613,False,False,0.18181818181818182,secondary_hardcap,1.0,0.04390243902439024,False
transfer_regularized_burden_guard,TRBG-native-burden,explicit native case39 val,2,0.5,0.8,0.10252131998516871,0.10252131998516871,245,0.42199625864093965,30,0.684596577017115,124.94999999999999,27.65,30,30,250,17,17,0,0.0,8.0,21.24265424353736,1.6276998547579102,455.75595933221484,False,False,0.18181818181818182,secondary_hardcap,1.0513307984790876,-0.016597510373443983,False
transfer_regularized_burden_guard,TRBG-native-burden,explicit native case39 val,1,0.5,0.9,0.0532072673340749,0.0532072673340749,196,0.2969153340298716,24,0.530562347188264,77.95,14.35,24,24,193,13,13,0,0.0,8.0,15.620955879237794,1.4777353030058125,320.6685607522613,False,False,0.18181818181818182,secondary_hardcap,1.0,0.04390243902439024,False
transfer_regularized_burden_guard,TRBG-native-burden,explicit native case39 val,2,0.5,0.9,0.10252131998516871,0.10252131998516871,245,0.42199625864093965,30,0.684596577017115,124.94999999999999,27.65,30,30,250,17,17,0,0.0,8.0,21.24265424353736,1.6276998547579102,455.75595933221484,False,False,0.18181818181818182,secondary_hardcap,1.0513307984790876,-0.016597510373443983,False
transfer_regularized_burden_guard,TRBG-native-burden,explicit native case39 val,1,0.5,0.95,0.0532072673340749,0.0532072673340749,196,0.2969153340298716,24,0.530562347188264,77.95,14.35,24,24,193,13,13,0,0.0,8.0,15.620955879237794,1.4777353030058125,320.6685607522613,False,False,0.18181818181818182,secondary_hardcap,1.0,0.04390243902439024,False
transfer_regularized_burden_guard,TRBG-native-burden,explicit native case39 val,2,0.5,0.95,0.10252131998516871,0.10252131998516871,245,0.42199625864093965,30,0.684596577017115,124.94999999999999,27.65,30,30,250,17,17,0,0.0,8.0,21.24265424353736,1.6276998547579102,455.75595933221484,False,False,0.18181818181818182,secondary_hardcap,1.0513307984790876,-0.016597510373443983,False
transfer_regularized_burden_guard,TRBG-native-burden,explicit native case39 val,1,0.5,1.0,0.0532072673340749,0.0532072673340749,196,0.2969153340298716,24,0.530562347188264,77.95,14.35,24,24,193,13,13,0,0.0,8.0,15.620955879237794,1.4777353030058125,320.6685607522613,False,False,inf,primary_soft,1.0,0.04390243902439024,False
transfer_regularized_burden_guard,TRBG-native-burden,explicit native case39 val,2,0.5,1.0,0.10252131998516871,0.10252131998516871,245,0.42199625864093965,30,0.684596577017115,124.94999999999999,27.65,30,30,250,17,17,0,0.0,8.0,21.24265424353736,1.6276998547579102,455.75595933221484,False,False,inf,primary_soft,1.0513307984790876,-0.016597510373443983,False
