holdout_id,budget,comparator,match_type,comparator_scheduler_recall,comparator_absolute_recall,source_retained_absolute_recall,source_retained_scheduler_recall,source_retained_served_attack_mass,source_retained_backend_fail,source_retained_cost,source_retained_clean,source_retained_served_count,source_minus_comparator_scheduler_recall,source_minus_comparator_absolute_recall
cfA_frontloaded_0_seed20260511_off1020,1,topk_expected_consequence,served_count,0.06533945890760591,0.06183574879227054,0.07391304347826087,0.07810107197549769,40.20000000000002,118,192.55502124043005,5,133,0.01276161306789178,0.012077294685990336
cfA_frontloaded_0_seed20260511_off1020,1,topk_expected_consequence,cost,0.06533945890760591,0.06183574879227054,0.07391304347826087,0.07810107197549769,40.95000000000002,119,191.90569460893266,5,134,0.01276161306789178,0.012077294685990336
cfA_frontloaded_0_seed20260511_off1020,1,topk_expected_consequence,backend_fail,0.06533945890760591,0.06183574879227054,0.08115942028985508,0.08575803981623276,43.20000000000002,121,197.18288008826448,5,137,0.020418580908626846,0.019323671497584544
cfA_frontloaded_0_seed20260511_off1020,1,topk_expected_consequence,clean_service,0.06533945890760591,0.06183574879227054,0.09565217391304348,0.1010719754977029,52.20000000000002,140,233.4276969165744,14,158,0.03573251659009699,0.033816425120772944
cfA_frontloaded_1_seed20260512_off1080,1,topk_expected_consequence,served_count,0.07302231237322515,0.06956521739130435,0.0927536231884058,0.09736308316430019,49.500000000000014,125,296.106059611845,18,144,0.024340770791075036,0.02318840579710145
cfA_frontloaded_1_seed20260512_off1080,1,topk_expected_consequence,cost,0.07302231237322515,0.06956521739130435,0.0927536231884058,0.09736308316430019,49.500000000000014,125,296.106059611845,18,144,0.024340770791075036,0.02318840579710145
cfA_frontloaded_1_seed20260512_off1080,1,topk_expected_consequence,backend_fail,0.07302231237322515,0.06956521739130435,0.0927536231884058,0.09736308316430019,49.500000000000014,125,296.106059611845,18,144,0.024340770791075036,0.02318840579710145
cfA_frontloaded_1_seed20260512_off1080,1,topk_expected_consequence,clean_service,0.07302231237322515,0.06956521739130435,0.0927536231884058,0.09736308316430019,49.500000000000014,125,296.106059611845,18,144,0.024340770791075036,0.02318840579710145
cfB_backloaded_0_seed20260521_off1140,1,topk_expected_consequence,served_count,0.11035313001605132,0.10784313725490198,0.13647058823529412,0.13964686998394857,54.54999999999994,72,164.05412630382716,7,95,0.029293739967897248,0.02862745098039214
cfB_backloaded_0_seed20260521_off1140,1,topk_expected_consequence,cost,0.11035313001605132,0.10784313725490198,0.13647058823529412,0.13964686998394857,54.099999999999945,69,152.2740031513954,7,92,0.029293739967897248,0.02862745098039214
cfB_backloaded_0_seed20260521_off1140,1,topk_expected_consequence,backend_fail,0.11035313001605132,0.10784313725490198,0.1388235294117647,0.14205457463884422,55.29999999999993,75,184.59570857539484,7,100,0.031701444622792896,0.030980392156862727
cfB_backloaded_0_seed20260521_off1140,1,topk_expected_consequence,clean_service,0.11035313001605132,0.10784313725490198,0.14117647058823526,0.14446227929373986,57.099999999999916,85,184.9446859206878,7,112,0.034109149277688544,0.033333333333333284
cfB_backloaded_1_seed20260522_off1200,1,topk_expected_consequence,served_count,0.0964,0.09450980392156863,0.09450980392156863,0.0964,42.34999999999994,101,148.27421840083798,12,119,0.0,0.0
cfB_backloaded_1_seed20260522_off1200,1,topk_expected_consequence,cost,0.0964,0.09450980392156863,0.09450980392156863,0.0964,42.34999999999994,110,164.3820040638525,21,128,0.0,0.0
cfB_backloaded_1_seed20260522_off1200,1,topk_expected_consequence,backend_fail,0.0964,0.09450980392156863,0.09450980392156863,0.0964,42.34999999999994,101,148.27421840083798,12,119,0.0,0.0
cfB_backloaded_1_seed20260522_off1200,1,topk_expected_consequence,clean_service,0.0964,0.09450980392156863,0.09450980392156863,0.0964,42.34999999999994,110,164.3820040638525,21,128,0.0,0.0
cfC_interleaved_0_seed20260611_off1260,1,topk_expected_consequence,served_count,0.06846361185983817,0.06719576719576717,0.06666666666666664,0.06792452830188668,35.649999999999956,84,193.90243680148615,0,94,-0.0005390835579514863,-0.0005291005291005318
cfC_interleaved_0_seed20260611_off1260,1,topk_expected_consequence,cost,0.06846361185983817,0.06719576719576717,0.06666666666666664,0.06792452830188668,22.450000000000003,51,147.64225236022685,0,61,-0.0005390835579514863,-0.0005291005291005318
cfC_interleaved_0_seed20260611_off1260,1,topk_expected_consequence,backend_fail,0.06846361185983817,0.06719576719576717,0.06666666666666664,0.06792452830188668,36.049999999999955,85,195.99310061570304,0,95,-0.0005390835579514863,-0.0005291005291005318
cfC_interleaved_0_seed20260611_off1260,1,topk_expected_consequence,clean_service,0.06846361185983817,0.06719576719576717,0.06666666666666664,0.06792452830188668,38.449999999999946,92,208.55506424498253,1,102,-0.0005390835579514863,-0.0005291005291005318
cfC_interleaved_1_seed20260612_off1320,1,topk_expected_consequence,served_count,0.06321525885558574,0.06137566137566137,0.10264550264550262,0.10572207084468647,37.2,84,217.1389033985397,16,97,0.04250681198910074,0.041269841269841255
cfC_interleaved_1_seed20260612_off1320,1,topk_expected_consequence,cost,0.06321525885558574,0.06137566137566137,0.10264550264550262,0.10572207084468647,37.6,85,217.0130577935197,16,98,0.04250681198910074,0.041269841269841255
cfC_interleaved_1_seed20260612_off1320,1,topk_expected_consequence,backend_fail,0.06321525885558574,0.06137566137566137,0.10687830687830686,0.11008174386920963,38.8,87,222.50187910228578,16,101,0.04686648501362389,0.045502645502645496
cfC_interleaved_1_seed20260612_off1320,1,topk_expected_consequence,clean_service,0.06321525885558574,0.06137566137566137,0.11534391534391533,0.11880108991825596,41.19999999999999,93,259.97884772680027,18,109,0.05558583106267022,0.053968253968253964
cfD_tailheavy_0_seed20260621_off1380,1,topk_expected_consequence,served_count,0.035936420179682085,0.035016835016835016,0.0026936026936026937,0.0027643400138216987,23.8,88,120.94260864194439,17,89,-0.03317208016586039,-0.03232323232323232
cfD_tailheavy_0_seed20260621_off1380,1,topk_expected_consequence,cost,0.035936420179682085,0.035016835016835016,0.051178451178451184,0.05252246026261228,45.40000000000003,100,165.9612063993418,17,107,0.016586040082930194,0.01616161616161617
cfD_tailheavy_0_seed20260621_off1380,1,topk_expected_consequence,backend_fail,0.035936420179682085,0.035016835016835016,0.0026936026936026937,0.0027643400138216987,19.000000000000004,84,117.04146569855675,17,85,-0.03317208016586039,-0.03232323232323232
cfD_tailheavy_0_seed20260621_off1380,1,topk_expected_consequence,clean_service,0.035936420179682085,0.035016835016835016,0.051178451178451184,0.05252246026261228,45.40000000000003,100,165.9612063993418,17,107,0.016586040082930194,0.01616161616161617
cfD_tailheavy_1_seed20260622_off1440,1,topk_expected_consequence,served_count,0.0656185919343814,0.06464646464646466,0.0457912457912458,0.046479835953520156,24.099999999999998,72,143.94031691075907,10,79,-0.01913875598086124,-0.01885521885521886
cfD_tailheavy_1_seed20260622_off1440,1,topk_expected_consequence,cost,0.0656185919343814,0.06464646464646466,0.0053872053872053875,0.005468215994531783,18.1,72,125.45722638341067,10,74,-0.060150375939849614,-0.059259259259259275
cfD_tailheavy_1_seed20260622_off1440,1,topk_expected_consequence,backend_fail,0.0656185919343814,0.06464646464646466,0.0053872053872053875,0.005468215994531783,17.700000000000003,71,125.20748571659715,10,73,-0.060150375939849614,-0.059259259259259275
cfD_tailheavy_1_seed20260622_off1440,1,topk_expected_consequence,clean_service,0.0656185919343814,0.06464646464646466,0.0,0.0,2.500000000000001,34,46.29497447421454,9,34,-0.0656185919343814,-0.06464646464646466
cfA_frontloaded_0_seed20260511_off1020,1,winner_replay,served_count,0.07554874936191934,0.07149758454106281,0.03043478260869565,0.032159264931087284,23.450000000000017,96,166.41692054806936,5,103,-0.043389484430832057,-0.04106280193236716
cfA_frontloaded_0_seed20260511_off1020,1,winner_replay,cost,0.07554874936191934,0.07149758454106281,0.0014492753623188406,0.0015313935681470134,10.950000000000015,76,145.83780280684823,4,77,-0.07401735579377233,-0.07004830917874397
cfA_frontloaded_0_seed20260511_off1020,1,winner_replay,backend_fail,0.07554874936191934,0.07149758454106281,0.025603864734299518,0.027054619703930572,19.450000000000017,89,167.1057863564738,5,95,-0.04849412965798877,-0.045893719806763295
cfA_frontloaded_0_seed20260511_off1020,1,winner_replay,clean_service,0.07554874936191934,0.07149758454106281,0.09565217391304348,0.1010719754977029,52.20000000000002,136,220.35469862089076,10,154,0.02552322613578356,0.024154589371980673
cfA_frontloaded_1_seed20260512_off1080,1,winner_replay,served_count,0.06947261663286003,0.06618357487922705,0.049275362318840575,0.051724137931034475,36.000000000000014,107,236.5580367576722,12,120,-0.017748478701825554,-0.016908212560386472
cfA_frontloaded_1_seed20260512_off1080,1,winner_replay,cost,0.06947261663286003,0.06618357487922705,0.049275362318840575,0.051724137931034475,39.000000000000014,111,244.08015479276673,12,124,-0.017748478701825554,-0.016908212560386472
cfA_frontloaded_1_seed20260512_off1080,1,winner_replay,backend_fail,0.06947261663286003,0.06618357487922705,0.049275362318840575,0.051724137931034475,34.500000000000014,105,234.00943165689478,12,118,-0.017748478701825554,-0.016908212560386472
cfA_frontloaded_1_seed20260512_off1080,1,winner_replay,clean_service,0.06947261663286003,0.06618357487922705,0.0,0.0,0.0,5,10.831838365161275,5,5,-0.06947261663286003,-0.06618357487922705
