comparison,left,right,slot_budget,metric,mean_delta_left_minus_right,median_delta_left_minus_right,min_delta,max_delta,bootstrap95_ci_low,bootstrap95_ci_high,exact_sign_test_p_two_sided,sign_flip_permutation_p_two_sided,n_holdouts,left_wins,left_losses,ties
oracle_vs_phase3_proposed,source_frozen::phase3_oracle_upgrade,source_frozen::phase3_proposed,1,recall,-0.0010599669427684717,0.005549597817938033,-0.04101161995898835,0.016853932584269593,-0.013938391450119655,0.008658435532611974,0.453125,0.921875,8,5,2,1
oracle_vs_phase3_proposed,source_frozen::phase3_oracle_upgrade,source_frozen::phase3_proposed,1,unnecessary,-2.375,-2.0,-4.0,0.0,-3.125,-1.5,0.015625,0.015625,8,7,0,1
oracle_vs_phase3_proposed,source_frozen::phase3_oracle_upgrade,source_frozen::phase3_proposed,1,cost,-0.03804468640380554,-0.03201947995953014,-0.13217253069218438,0.019792137586064573,-0.06932820405549003,-0.011896619675548496,0.0703125,0.03125,8,7,1,0
oracle_vs_phase3_proposed,source_frozen::phase3_oracle_upgrade,source_frozen::phase3_proposed,1,served_ratio,-0.026418237452394536,-0.019793723861460832,-0.058389891192221655,-0.012361674624344454,-0.03820826006375921,-0.016647945420707563,0.0078125,0.0078125,8,0,8,0
oracle_vs_phase3_proposed,source_frozen::phase3_oracle_upgrade,source_frozen::phase3_proposed,1,delay_p95,-0.13125000000000142,0.0,-2.0,1.1499999999999915,-0.8062500000000004,0.46874999999999645,1.0,0.75,8,3,3,2
oracle_vs_phase3_proposed,source_frozen::phase3_oracle_upgrade,source_frozen::phase3_proposed,1,backend_fail,-6.875,-6.5,-13.0,-2.0,-9.125,-4.75,0.0078125,0.0078125,8,8,0,0
oracle_vs_topk_expected_consequence,source_frozen::phase3_oracle_upgrade,source_frozen::topk_expected_consequence,1,recall,-0.0024875450943288614,0.0025523226135783575,-0.04921394395078602,0.0248790601243953,-0.01790091359757478,0.01008208162372734,1.0,0.796875,8,4,3,1
oracle_vs_topk_expected_consequence,source_frozen::phase3_oracle_upgrade,source_frozen::topk_expected_consequence,1,unnecessary,-2.5,-2.0,-5.0,0.0,-3.5,-1.5,0.015625,0.015625,8,7,0,1
oracle_vs_topk_expected_consequence,source_frozen::phase3_oracle_upgrade,source_frozen::topk_expected_consequence,1,cost,-0.0384127038635752,-0.033129278974389664,-0.13217253069218438,0.021456275907702438,-0.07413414156582575,-0.005934184166591201,0.2890625,0.078125,8,6,2,0
oracle_vs_topk_expected_consequence,source_frozen::phase3_oracle_upgrade,source_frozen::topk_expected_consequence,1,served_ratio,-0.03095066469112908,-0.024432163647738758,-0.09441622601169308,0.009573068639654403,-0.05420523000643929,-0.009945578347305015,0.2890625,0.0390625,8,2,6,0
