stage,stage_label,aggregate,holdout_tag,family_tag,slot_budget,variant,proxy,proxy_recall,served_attack_jobs,served_clean_jobs,backend_fail_count,average_service_cost_per_step
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,1,phase3_oracle_upgrade,backend_success_weighted_proxy,0.386317907444668,126,18,125,0.54834455483675
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,1,phase3_oracle_upgrade,recovery_aware_proxy,0.5010593220338984,126,18,125,0.54834455483675
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,1,phase3_oracle_upgrade,burden_proxy,0.6081698781919705,126,18,125,0.54834455483675
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,1,phase3_proposed,current_product_proxy,0.5542596348884382,134,22,138,0.6805170855289344
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,1,phase3_proposed,additive_proxy,0.5795113587655378,134,22,138,0.6805170855289344
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,1,phase3_proposed,backend_success_weighted_proxy,0.35613682092555327,134,22,138,0.6805170855289344
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,1,phase3_proposed,recovery_aware_proxy,0.5556144067796611,134,22,138,0.6805170855289344
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,1,phase3_proposed,burden_proxy,0.6533878904905143,134,22,138,0.6805170855289344
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,1,topk_expected_consequence,current_product_proxy,0.5542596348884382,134,22,138,0.6805170855289344
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,1,topk_expected_consequence,additive_proxy,0.5795113587655378,134,22,138,0.6805170855289344
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,1,topk_expected_consequence,backend_success_weighted_proxy,0.35613682092555327,134,22,138,0.6805170855289344
source_frozen,source-frozen transfer,v1,cfA_frontloaded_1_seed20260512_off1080,cfA_frontloaded,1,topk_expected_consequence,recovery_aware_proxy,0.5556144067796611,134,22,138,0.6805170855289344
