budget_label,score_name,budget_k,tau_on_clean,clean_selected_alarms,total_clean_false_alarms,uMTD_rate,trigger_rate,fail_per_alarm,stage_one_time_per_alarm,stage_two_time_per_alarm,delta_cost_one_per_alarm,delta_cost_two_per_alarm,attack_retention_overall,weak_retention,strong_retention
Baseline,always_trigger,819,-inf,819,819,0.11665004985044865,1.0,0.967032967032967,9.174316442929781,1.5303784837361802,0.7953259726223612,0.7287458970121977,1.0,1.0,1.0
Main OP,detector_loss,758,0.007874829694628716,758.0,819,0.10796182879931633,0.9255189255189256,0.8962148962148963,8.457939055376437,1.3851672776307233,0.7485169716581271,0.6846594063311329,1.0,1.0,1.0
Main OP,proposed_phys_score,758,0.013044665038428743,758.0,819,0.10796182879931633,0.9255189255189256,0.9096459096459096,8.598229432717348,0.7209964444785765,0.6826293502068045,0.6455698254252143,0.9931506849315068,0.993006993006993,0.9932885906040269
Strict OP,detector_loss,681,0.008101445622742176,681.0,819,0.096994730095428,0.8315018315018315,0.8070818070818071,7.476228094508505,1.1677336209568494,0.6565405960913799,0.6100335379809976,0.9897260273972602,0.986013986013986,0.9932885906040269
Strict OP,proposed_phys_score,681,0.01601811974305777,681.0,819,0.096994730095428,0.8315018315018315,0.8168498168498168,7.911466555426554,0.6583306064535847,0.5753700812984246,0.5532392322677226,0.9863013698630136,0.9790209790209791,0.9932885906040269
