comparison,left,right,slot_budget,metric,mean_delta_left_minus_right,median_delta_left_minus_right,min_delta,max_delta,bootstrap95_ci_low,bootstrap95_ci_high,exact_sign_test_p_two_sided,sign_flip_permutation_p_two_sided,n_holdouts,left_wins,left_losses,ties
phase3_oracle_upgrade_vs_phase3_proposed,phase3_oracle_upgrade,phase3_proposed,1,served_ratio,-0.005400793293587448,-0.005034636318654131,-0.0196078431372549,0.0045871559633027525,-0.010530762028081725,-0.000980870583642397,0.21875,0.09375,8,1,5,2
phase3_oracle_upgrade_vs_phase3_proposed,phase3_oracle_upgrade,phase3_proposed,1,backend_fail,-0.875,-0.5,-4.0,1.0,-2.0,0.0,0.375,0.25,8,4,1,3
phase3_oracle_upgrade_vs_phase3_proposed,phase3_oracle_upgrade,phase3_proposed,1,delay_p95,-4.6875,-4.5,-10.0,0.5,-8.251562499999999,-1.125,0.375,0.125,8,4,1,3
phase3_oracle_upgrade_vs_topk_expected_consequence,phase3_oracle_upgrade,topk_expected_consequence,1,recall,-0.07229359801579625,-0.06704110189710982,-0.11035313001605139,-0.0359364201796821,-0.08718750400555117,-0.058448923442470116,0.0078125,0.0078125,8,0,8,0
phase3_oracle_upgrade_vs_topk_expected_consequence,phase3_oracle_upgrade,topk_expected_consequence,1,unnecessary,-14.75,-17.5,-23.0,-1.0,-19.375,-9.746875000000045,0.0078125,0.0078125,8,8,0,0
phase3_oracle_upgrade_vs_topk_expected_consequence,phase3_oracle_upgrade,topk_expected_consequence,1,cost,-0.3523653435391511,-0.3185124420852023,-0.5923808443376258,-0.23911816207522507,-0.4307896946168964,-0.292526734403046,0.0078125,0.0078125,8,8,0,0
phase3_oracle_upgrade_vs_topk_expected_consequence,phase3_oracle_upgrade,topk_expected_consequence,1,served_ratio,-0.5071546775720769,-0.508093935248518,-0.6324786324786325,-0.41361256544502617,-0.5576334491883617,-0.461570515172563,0.0078125,0.0078125,8,0,8,0
phase3_oracle_upgrade_vs_topk_expected_consequence,phase3_oracle_upgrade,topk_expected_consequence,1,backend_fail,-94.125,-85.5,-134.0,-71.0,-110.25,-81.0,0.0078125,0.0078125,8,8,0,0
phase3_oracle_upgrade_vs_topk_expected_consequence,phase3_oracle_upgrade,topk_expected_consequence,1,delay_p95,-5.875,-8.5,-9.0,4.0,-8.75,-2.25,0.2890625,0.03125,8,6,2,0
best_full_native_operating_point_vs_source_frozen_transfer,topk_expected_consequence,source_frozen_transfer,1,recall,-0.019359849032180753,-0.02046340543700262,-0.0555858310626703,0.01093643198906357,-0.03397449869278775,-0.005160065683463539,0.453125,0.0625,8,2,5,1
best_full_native_operating_point_vs_source_frozen_transfer,topk_expected_consequence,source_frozen_transfer,1,unnecessary,1.25,2.0,-1.0,4.0,0.0,2.5,0.7265625,0.1640625,8,3,5,0
best_full_native_operating_point_vs_source_frozen_transfer,topk_expected_consequence,source_frozen_transfer,1,cost,-0.03533870109272642,-0.03837554732206633,-0.13377290328650937,0.04403628950087579,-0.07427647697431505,0.001851610670849488,0.7265625,0.1328125,8,5,3,0
best_full_native_operating_point_vs_source_frozen_transfer,topk_expected_consequence,source_frozen_transfer,1,served_ratio,-0.05557430269836706,-0.05802553579571362,-0.10638297872340419,0.017094017094017033,-0.07964290211505787,-0.028835829466645584,0.0703125,0.015625,8,1,7,0
best_full_native_operating_point_vs_source_frozen_transfer,topk_expected_consequence,source_frozen_transfer,1,backend_fail,-8.0,-8.5,-19.0,9.0,-13.0,-2.25,0.0703125,0.046875,8,7,1,0
best_full_native_operating_point_vs_source_frozen_transfer,topk_expected_consequence,source_frozen_transfer,1,delay_p95,0.4250000000000025,0.0,-1.6999999999999886,4.1000000000000085,-0.6749999999999972,1.7750000000000021,1.0,0.625,8,3,3,2
source_frozen_transfer_vs_full_native_safeguarded_retune,source_frozen_transfer,native_safeguarded_retune,2,recall,0.16161902558364585,0.16714948280745853,0.08569454042847269,0.2081743869209808,0.13636477896502705,0.18199311333879864,0.0078125,0.0078125,8,8,0,0
source_frozen_transfer_vs_full_native_safeguarded_retune,source_frozen_transfer,native_safeguarded_retune,2,unnecessary,17.5,19.0,2.0,32.0,11.25,23.625,0.0078125,0.0078125,8,0,8,0
source_frozen_transfer_vs_full_native_safeguarded_retune,source_frozen_transfer,native_safeguarded_retune,2,cost,0.517094496475818,0.513644522401749,0.3482910459410951,0.7313894377471384,0.4163909643526258,0.6171660631511767,0.0078125,0.0078125,8,0,8,0
source_frozen_transfer_vs_full_native_safeguarded_retune,source_frozen_transfer,native_safeguarded_retune,2,served_ratio,0.7010431894443467,0.6874887569706782,0.5778894472361809,0.8425531914893617,0.6383054854925291,0.7649953816661744,0.0078125,0.0078125,8,8,0,0
source_frozen_transfer_vs_full_native_safeguarded_retune,source_frozen_transfer,native_safeguarded_retune,2,backend_fail,121.625,117.0,88.0,167.0,104.121875,141.875,0.0078125,0.0078125,8,0,8,0
source_frozen_transfer_vs_full_native_safeguarded_retune,source_frozen_transfer,native_safeguarded_retune,2,delay_p95,-3.59375,-3.0,-7.75,-1.0,-4.9390624999999995,-2.5,0.0078125,0.0078125,8,8,0,0
source_frozen_transfer_vs_full_native_unconstrained_retune,source_frozen_transfer,native_unconstrained_retune,2,recall,0.0939452722643403,0.10303302843583761,0.03839999999999996,0.14877384196185275,0.06626400835236759,0.1209090596950012,0.0078125,0.0078125,8,8,0,0
source_frozen_transfer_vs_full_native_unconstrained_retune,source_frozen_transfer,native_unconstrained_retune,2,unnecessary,17.25,18.5,2.0,32.0,11.0,23.5,0.0078125,0.0078125,8,0,8,0
source_frozen_transfer_vs_full_native_unconstrained_retune,source_frozen_transfer,native_unconstrained_retune,2,cost,0.370490822030574,0.3851810649265791,0.17319078018260825,0.5267277052172057,0.28394897671725383,0.45291755453061266,0.0078125,0.0078125,8,0,8,0
source_frozen_transfer_vs_full_native_unconstrained_retune,source_frozen_transfer,native_unconstrained_retune,2,served_ratio,0.47268731903507694,0.46444712936859534,0.3115577889447236,0.6851063829787234,0.40363029040952886,0.5481963939954431,0.0078125,0.0078125,8,8,0,0
source_frozen_transfer_vs_full_native_unconstrained_retune,source_frozen_transfer,native_unconstrained_retune,2,backend_fail,83.875,79.5,57.0,140.0,69.0,102.25,0.0078125,0.0078125,8,0,8,0
source_frozen_transfer_vs_full_native_unconstrained_retune,source_frozen_transfer,native_unconstrained_retune,2,delay_p95,-2.3624999999999963,-2.125,-4.799999999999983,0.05000000000000426,-3.2874999999999908,-1.4374999999999982,0.0703125,0.015625,8,7,1,0
source_frozen_transfer_vs_anchored_retune,source_frozen_transfer,anchored_retune,2,recall,0.12292554696211379,0.13782428391005072,0.05805114029025569,0.16131237183868752,0.09580767901632016,0.1463395760125763,0.0078125,0.0078125,8,8,0,0
source_frozen_transfer_vs_anchored_retune,source_frozen_transfer,anchored_retune,2,unnecessary,16.375,18.0,2.0,30.0,10.5,22.125,0.0078125,0.0078125,8,0,8,0
source_frozen_transfer_vs_anchored_retune,source_frozen_transfer,anchored_retune,2,cost,0.3719937352188665,0.3867690803818501,0.17054922774503095,0.5134414099741392,0.28581409261397445,0.45261041798746987,0.0078125,0.0078125,8,0,8,0
source_frozen_transfer_vs_anchored_retune,source_frozen_transfer,anchored_retune,2,served_ratio,0.4809148764945067,0.4463864079663279,0.3316582914572864,0.6978723404255319,0.4099401331153173,0.5593037454758526,0.0078125,0.0078125,8,8,0,0
source_frozen_transfer_vs_anchored_retune,source_frozen_transfer,anchored_retune,2,backend_fail,82.0,72.5,55.0,139.0,65.625,101.75,0.0078125,0.0078125,8,0,8,0
source_frozen_transfer_vs_anchored_retune,source_frozen_transfer,anchored_retune,2,delay_p95,-2.3062500000000004,-2.0,-6.25,0.0,-3.6500000000000004,-1.1812500000000004,0.015625,0.015625,8,7,0,1
source_frozen_transfer_vs_winner_replay,source_frozen_transfer,winner_replay,2,recall,0.050829053202001456,0.0556195343219794,0.008400000000000019,0.08119891008174376,0.03431535367821406,0.0656446682240715,0.0078125,0.0078125,8,8,0,0
source_frozen_transfer_vs_winner_replay,source_frozen_transfer,winner_replay,2,unnecessary,6.0,6.5,1.0,11.0,3.625,8.375,0.0078125,0.0078125,8,0,8,0
source_frozen_transfer_vs_winner_replay,source_frozen_transfer,winner_replay,2,cost,0.10047509276835476,0.11411480298398743,0.011995063382244542,0.155523461573291,0.06611026754685367,0.13020549453193458,0.0078125,0.0078125,8,0,8,0
source_frozen_transfer_vs_winner_replay,source_frozen_transfer,winner_replay,2,served_ratio,0.08962850497699859,0.08742281110702171,0.05025125628140703,0.16595744680851066,0.0688318324372787,0.11419193029552936,0.0078125,0.0078125,8,8,0,0
source_frozen_transfer_vs_winner_replay,source_frozen_transfer,winner_replay,2,backend_fail,12.25,9.0,2.0,30.0,6.625,18.625,0.0078125,0.0078125,8,0,8,0
source_frozen_transfer_vs_winner_replay,source_frozen_transfer,winner_replay,2,delay_p95,-0.21249999999999858,-0.22499999999999432,-2.0,4.0,-1.2501562499999999,1.1626562499999993,0.21875,0.8125,8,5,1,2
phase3_oracle_upgrade_vs_phase3_proposed,phase3_oracle_upgrade,phase3_proposed,2,recall,0.08241904569895864,0.0759777597074254,0.0442294402211472,0.13643659711075443,0.06291622864679595,0.10445951989541652,0.0078125,0.0078125,8,8,0,0
phase3_oracle_upgrade_vs_phase3_proposed,phase3_oracle_upgrade,phase3_proposed,2,unnecessary,-0.375,-0.5,-1.0,1.0,-0.875,0.125,0.375,0.375,8,4,1,3
phase3_oracle_upgrade_vs_phase3_proposed,phase3_oracle_upgrade,phase3_proposed,2,cost,0.17661245781281834,0.17703431144819928,0.05799497238250314,0.2551835109487692,0.13187877418190594,0.2182854758487994,0.0078125,0.0078125,8,0,8,0
phase3_oracle_upgrade_vs_phase3_proposed,phase3_oracle_upgrade,phase3_proposed,2,served_ratio,0.2618405550179016,0.29128185156336933,0.1518324607329843,0.3717948717948718,0.2059986438913033,0.31647909096658355,0.0078125,0.0078125,8,8,0,0
phase3_oracle_upgrade_vs_phase3_proposed,phase3_oracle_upgrade,phase3_proposed,2,backend_fail,42.375,40.0,22.0,72.0,31.621875000000003,54.25,0.0078125,0.0078125,8,0,8,0
phase3_oracle_upgrade_vs_phase3_proposed,phase3_oracle_upgrade,phase3_proposed,2,delay_p95,0.1499999999999968,-0.6000000000000014,-3.4000000000000163,8.0,-1.5875000000000057,2.668749999999999,0.2890625,0.9765625,8,6,2,0
phase3_oracle_upgrade_vs_topk_expected_consequence,phase3_oracle_upgrade,topk_expected_consequence,2,recall,-0.04887708980940994,-0.050922727448585364,-0.07928913192071081,-0.021599999999999953,-0.062316391075580714,-0.03516190756945002,0.0078125,0.0078125,8,0,8,0
phase3_oracle_upgrade_vs_topk_expected_consequence,phase3_oracle_upgrade,topk_expected_consequence,2,unnecessary,-17.25,-19.0,-31.0,-2.0,-23.25,-11.0,0.0078125,0.0078125,8,8,0,0
phase3_oracle_upgrade_vs_topk_expected_consequence,phase3_oracle_upgrade,topk_expected_consequence,2,cost,-0.3090121333533382,-0.29940857809588295,-0.44394727870908607,-0.15496657441400558,-0.3664098072988878,-0.2511844307075358,0.0078125,0.0078125,8,8,0,0
phase3_oracle_upgrade_vs_topk_expected_consequence,phase3_oracle_upgrade,topk_expected_consequence,2,served_ratio,-0.41531539068549006,-0.40445957551220707,-0.5829787234042554,-0.30653266331658297,-0.4769325402006524,-0.3602351179185416,0.0078125,0.0078125,8,0,8,0
phase3_oracle_upgrade_vs_topk_expected_consequence,phase3_oracle_upgrade,topk_expected_consequence,2,backend_fail,-77.75,-74.0,-125.0,-57.0,-93.25,-64.75,0.0078125,0.0078125,8,8,0,0
phase3_oracle_upgrade_vs_topk_expected_consequence,phase3_oracle_upgrade,topk_expected_consequence,2,delay_p95,2.9062499999999956,2.7749999999999986,0.6499999999999915,5.549999999999983,1.7687499999999963,4.143749999999992,0.0078125,0.0078125,8,0,8,0
best_full_native_operating_point_vs_source_frozen_transfer,topk_expected_consequence,source_frozen_transfer,2,recall,-0.04506818245493035,-0.04789519379077009,-0.09155313351498628,-0.008293020041465093,-0.06236722579418529,-0.028636566134055377,0.0078125,0.0078125,8,0,8,0
best_full_native_operating_point_vs_source_frozen_transfer,topk_expected_consequence,source_frozen_transfer,2,unnecessary,0.0,0.0,-1.0,1.0,-0.375,0.375,1.0,1.0,8,1,1,6
best_full_native_operating_point_vs_source_frozen_transfer,topk_expected_consequence,source_frozen_transfer,2,cost,-0.06147868867723575,-0.07828532815114897,-0.11871678012140463,0.04280514105045469,-0.09272271694628524,-0.024311554910442103,0.0703125,0.03125,8,7,1,0
best_full_native_operating_point_vs_source_frozen_transfer,topk_expected_consequence,source_frozen_transfer,2,served_ratio,-0.057371928349586904,-0.06011307872839766,-0.10212765957446812,-0.005025125628140614,-0.07955653047799265,-0.03392780267604895,0.0078125,0.0078125,8,0,8,0
best_full_native_operating_point_vs_source_frozen_transfer,topk_expected_consequence,source_frozen_transfer,2,backend_fail,-6.125,-8.0,-15.0,5.0,-10.75,-1.25,0.453125,0.0625,8,5,2,1
best_full_native_operating_point_vs_source_frozen_transfer,topk_expected_consequence,source_frozen_transfer,2,delay_p95,-0.5437499999999993,-0.875,-3.0,1.0,-1.46875,0.2562500000000014,0.7265625,0.296875,8,5,3,0
