method,calibration_mode,holdout_id,B,alpha,fail_cap_quantile,recall,scheduler_recall,backend_fail,cost,unnecessary,served_ratio,served_attack_mass,backend_success_attack_mass,clean_service,served_clean_count,served_attack_count,recover_fail,recover_fail_attack,recover_fail_clean,delay_p50,delay_p95,average_service_time,average_service_cost,total_service_cost,actual_backend_fail_used_in_decision,actual_recover_fail_used_in_decision,component
source_frozen_transfer,,cfA_frontloaded_1_seed20260512_off1080,1,0.0,,0.0973630831643002,0.0973630831643002,125,0.54834455483675,18,0.6153846153846154,49.5,9.6,18,18,126,8,6,2,0.0,8.0,13.433873254391882,2.0562920806378124,296.106059611845,False,False,none
fail_only_alpha_0.25,,cfA_frontloaded_1_seed20260512_off1080,1,0.25,,0.0922920892494929,0.0922920892494929,117,0.5245433414149105,13,0.5769230769230769,48.2,9.1,13,13,122,7,6,1,0.0,8.0,14.177633306715224,2.098173365659642,283.2534043640517,False,False,fail_only
fail_only_alpha_0.5,,cfA_frontloaded_1_seed20260512_off1080,1,0.5,,0.0922920892494929,0.0922920892494929,114,0.5061351512359006,11,0.5641025641025641,48.05,9.1,11,11,121,7,6,1,0.0,8.0,14.395710786183676,2.0705528914195934,273.31298166738634,False,False,fail_only
fail_only_alpha_1.0,,cfA_frontloaded_1_seed20260512_off1080,1,1.0,,0.0922920892494929,0.0922920892494929,109,0.47929386083295933,11,0.5427350427350427,46.25,9.1,11,11,116,7,6,1,0.0,8.699999999999989,14.202128971655538,2.0379424003921107,258.81868484979805,False,False,fail_only
cost_time_only_alpha_0.25,,cfA_frontloaded_1_seed20260512_off1080,1,0.25,,0.0973630831643002,0.0973630831643002,128,0.5853566144811625,15,0.6282051282051282,53.75,9.6,15,15,132,7,6,1,0.0,8.0,12.725378278161394,2.1502896042165154,316.09257181982775,False,False,cost_time_only
cost_time_only_alpha_0.5,,cfA_frontloaded_1_seed20260512_off1080,1,0.5,,0.10243407707910751,0.10243407707910751,126,0.62120606063402,14,0.6239316239316239,53.75,10.1,14,14,132,7,6,1,0.0,9.0,12.981038789226584,2.2976114571395256,335.45127274237075,False,False,cost_time_only
cost_time_only_alpha_1.0,,cfA_frontloaded_1_seed20260512_off1080,1,1.0,,0.09482758620689655,0.09482758620689655,128,0.5977677754797124,15,0.6282051282051282,54.25,9.35,15,15,132,7,6,1,0.0,8.699999999999989,12.638795881855245,2.195881624211188,322.7945987590447,False,False,cost_time_only
full_trbg_alpha_0.25,,cfA_frontloaded_1_seed20260512_off1080,1,0.25,,0.0973630831643002,0.0973630831643002,116,0.530409015589836,12,0.5769230769230769,48.95,9.6,12,12,123,7,6,1,0.0,8.0,14.033338453151561,2.121636062359344,286.4208684185114,False,False,full_trbg
full_trbg_alpha_0.5,,cfA_frontloaded_1_seed20260512_off1080,1,0.5,,0.09989858012170386,0.09989858012170386,114,0.542866915036265,12,0.5683760683760684,48.55,9.85,12,12,121,6,5,1,0.0,8.0,14.435106784777533,2.204121309169798,293.1481341195831,False,False,full_trbg
full_trbg_alpha_1.0,,cfA_frontloaded_1_seed20260512_off1080,1,1.0,,0.09330628803245436,0.09330628803245436,107,0.4310981677246504,9,0.5299145299145299,47.65,9.2,9,9,115,6,5,1,0.0,8.0,14.525510749509257,1.8773629884783165,232.79301057131124,False,False,full_trbg
