fresh_bank,B,trbg_recall,source_recall,topk_recall,recall_retention_vs_source,backend_fail_reduction_vs_source,cost_delta_vs_source,recover_delta_vs_source,trbg_above_topk_recall
reduced_attackpulse_3,1,0.12554112554112554,0.12554112554112554,0.09523809523809522,1.0,0.3018867924528302,-0.1257220257563006,-1.0,True
reduced_attackpulse_3,2,0.21645021645021642,0.21645021645021642,0.15584415584415584,1.0,0.21818181818181817,-0.05562874633878512,-1.0,True
reduced_cleanheavy_2,1,0.12448132780082986,0.12448132780082986,0.20746887966804978,1.0,0.3898305084745763,-0.297200457974634,0.0,False
reduced_cleanheavy_2,2,0.20746887966804978,0.20746887966804978,0.2904564315352697,1.0,0.2857142857142857,-0.2742236863727347,0.0,False
reduced_interleaved_0,1,0.019538188277087035,0.019538188277087035,0.014209591474245118,1.0,0.14492753623188406,-0.018188595895401227,0.0,True
reduced_interleaved_0,2,0.019538188277087035,0.019538188277087035,0.019538188277087035,1.0,0.0945945945945946,-0.030871125462135773,0.0,False
reduced_tailheavy_1,1,0.06493506493506494,0.06493506493506494,0.03766233766233767,1.0,0.3157894736842105,-0.09295945734229463,-1.0,True
reduced_tailheavy_1,2,0.11298701298701302,0.1402597402597403,0.10259740259740262,0.8055555555555556,0.2,-0.05747234788325767,0.0,True
