source,arm,ordinal,objective_minus_N,complex_RMSE_minus_N,DDD_loss_minus_N
OPSD_DE_2016-05-15,I,59,-1.4529610716454044,0.00020429021900671487,0.0006056907586753368
OPSD_DE_2016-05-15,D,59,0.0,0.0,0.0
OPSD_DE_2016-05-15,I,60,-1.4653752633093973,1.3106623731574778e-05,0.0010793954133987427
OPSD_DE_2016-05-15,D,60,-1.4653752633093973,1.3106623731574778e-05,0.0005202619358897209
OPSD_DE_2016-05-15,I,61,-1.4767388345680956,-0.0003051189768197523,0.001439710147678852
OPSD_DE_2016-05-15,D,61,-1.4767388345680956,-0.0003051189768197523,0.0009727897122502327
OPSD_DE_2016-05-15,I,62,-1.4865541971339553,-7.818654661968945e-05,0.001748739741742611
OPSD_DE_2016-05-15,D,62,-1.4865541971339553,-7.818654661968945e-05,0.0013320250436663628
OPSD_DE_2016-05-15,I,63,-1.4934686245997,-4.771621442906451e-05,0.0019544465467333794
OPSD_DE_2016-05-15,D,63,-1.4934686245997,-4.771621442906451e-05,0.0015132129192352295
OPSD_DE_2016-05-15,I,64,-1.4987765172390937,2.6551668745904448e-05,0.002449961379170418
OPSD_DE_2016-05-15,D,64,-1.4987765172390937,2.6551668745904448e-05,0.0020085060968995094
OPSD_DE_2016-05-15,I,65,-1.5024821941588016,8.567872538462645e-05,0.0024843793362379074
OPSD_DE_2016-05-15,D,65,-1.5024821941588016,8.567872538462645e-05,0.0024843793362379074
OPSD_DE_2016-05-15,I,66,-1.498031522411111,0.00016658522576796673,0.0026179365813732147
OPSD_DE_2016-05-15,D,66,-1.498031522411111,0.00016658522576796673,0.0026179365813732147
OPSD_DE_2016-05-15,I,67,-1.4932862901587214,0.00013990792250861668,0.002726580947637558
OPSD_DE_2016-05-15,D,67,-1.4932862901587214,0.00013990792250861668,0.002726580947637558
OPSD_DE_2016-05-15,I,68,-1.4861812830331473,-0.0001832780915380335,0.0031793490052223206
OPSD_DE_2016-05-15,D,68,-1.4861812830331473,-0.0001832780915380335,0.0031793490052223206
OPSD_DE_2016-05-15,I,69,-1.4769391213121708,0.0005818800344368665,0.004156878218054771
OPSD_DE_2016-05-15,D,69,-1.4769391213121708,0.0005818800344368665,0.004156878218054771
OPSD_DE_2016-05-15,I,70,-1.466184547107332,9.043226592861831e-05,0.00507592037320137
OPSD_DE_2016-05-15,D,70,-1.466184547107332,9.043226592861831e-05,0.00507592037320137
OPSD_DE_2016-07-15,I,63,27.514288694430434,8.027196922577253e-05,0.0017476333305239677
OPSD_DE_2016-07-15,D,63,0.0,0.0,0.0
OPSD_DE_2016-07-15,I,64,27.51667326264942,0.00024520223925219827,0.0031772549264132977
OPSD_DE_2016-07-15,D,64,27.51667326264942,0.00024520223925219827,0.001426121685653925
OPSD_DE_2016-07-15,I,65,27.51512088439631,0.00022463137700910957,0.004555881954729557
OPSD_DE_2016-07-15,D,65,27.51512088439631,0.00022463137700910957,0.0027905721217393875
OPSD_DE_2016-07-15,I,66,27.49533989751035,-0.000301455673218899,0.006299711763858795
OPSD_DE_2016-07-15,D,66,27.49533989751035,-0.000301455673218899,0.004483204334974289
OPSD_DE_2016-07-15,I,67,27.475350875309232,0.00015470893380609596,0.007859273813664913
OPSD_DE_2016-07-15,D,67,27.475350875309232,0.00015470893380609596,0.005973256193101406
OPSD_DE_2016-07-15,I,68,27.455073829831235,0.0003730829050233171,0.009395720437169075
OPSD_DE_2016-07-15,D,68,27.455073829831235,0.0003730829050233171,0.007538793608546257
OPSD_DE_2016-07-15,I,69,27.427131649563307,0.00018656579377495557,0.00887854304164648
OPSD_DE_2016-07-15,D,69,27.427131649563307,0.00018656579377495557,0.00887854304164648
OPSD_DE_2016-07-15,I,70,27.400115555827142,-0.00012341057438156186,0.008471420034766197
OPSD_DE_2016-07-15,D,70,27.400115555827142,-0.00012341057438156186,0.008471420034766197
OPSD_DE_2016-07-15,I,71,27.372298933545608,0.00024665216426590175,0.008319923654198647
OPSD_DE_2016-07-15,D,71,27.372298933545608,0.00024665216426590175,0.008319923654198647
OPSD_DE_2016-07-15,I,72,27.343112278480476,0.0002090364756166048,0.007661024108529091
OPSD_DE_2016-07-15,D,72,27.343112278480476,0.0002090364756166048,0.007661024108529091
OPSD_DE_2016-07-15,I,73,27.31417126584529,0.00034588840297995705,0.007329385727643967
OPSD_DE_2016-07-15,D,73,27.31417126584529,0.00034588840297995705,0.007329385727643967
OPSD_DE_2016-07-15,I,74,27.285298011433042,-0.00022725147122396646,0.006621344015002251
OPSD_DE_2016-07-15,D,74,27.285298011433042,-0.00022725147122396646,0.006621344015002251
