source,arm,ordinal,offset,objective,rmse_complex,rmse_magnitude,rmse_angle,ddd_loss,ddd_alarm,bdd_alarm,P_balance_pu,Q_balance_pu,returned_flow_pu,V_violation_pu,P_gen_violation_pu,Q_gen_violation_pu,active_limit_violation_pu
OPSD_DE_2016-05-15,N,59,1,8411.18619665578,0.002275244838987268,0.0003317961265631865,0.0021564188833310006,0.007048545405268669,1,0,7.2810731749362034e-09,3.4378529023548765e-08,4.696457461544267e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,N,60,2,8387.60646396361,0.002430840700376446,0.00033945009564590676,0.0022910916477049017,0.007727574557065964,1,0,7.023280179652147e-09,3.3450918451860545e-08,1.1102230246251565e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,N,61,3,8364.055805306467,0.0024157329892153965,0.0002054549432668189,0.002310495578232969,0.008691845461726189,1,1,7.024500536800815e-09,3.3633772322794186e-08,1.868911564508667e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,N,62,4,8340.534238405442,0.0018830265909239301,0.00027194499816810105,0.0017938608168818419,0.009723012335598469,1,0,7.013817526768662e-09,3.3722696662907836e-08,8.881784197001252e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,N,63,5,8324.190028716897,0.0011378617477554656,0.0003613707236588483,0.0010317177704141337,0.011088806204497814,1,0,7.0005101715509e-09,3.374994717031399e-08,1.1679830169390686e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,N,64,6,8307.873562219414,0.001342044566977259,0.0005027629953861561,0.0011945766347130082,0.011937595903873444,1,0,6.968746246727164e-09,3.367008918897518e-08,4.518280359883027e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,N,65,7,8291.584861239246,0.0006840384276481926,0.0002674445517027842,0.000601735181915422,0.013361439108848572,1,0,6.919793404946972e-09,3.349103899763506e-08,1.1133411481696098e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,N,66,8,8312.253957486435,0.002549525401757056,0.0005483037087628274,0.002375878047348099,0.014497563242912292,1,0,6.832494570119252e-09,3.305337711867473e-08,2.329898311353923e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,N,67,9,8332.949529326606,0.0009751508463528057,0.0005176322593643612,0.0007962176200653064,0.015960369259119034,1,0,6.710214606187037e-09,3.244493618215216e-08,9.525827682465175e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,N,68,10,8353.671621545023,0.0023688204914159316,0.00026375593374002856,0.002254766686209678,0.01744319126009941,1,0,6.55428133988778e-09,3.1672588191034023e-08,3.609532307763045e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,N,69,11,8376.982870676278,0.0034665765938367817,0.0012742353675467295,0.0030988167343608364,0.018142754212021828,1,0,6.360175053288231e-09,3.071159915268851e-08,1.9221237110463635e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,N,70,12,8400.32452842628,0.0009446390874553143,0.00037362326778050796,0.0008376471378645067,0.01982925646007061,1,0,6.255239215491315e-09,3.0184534066668434e-08,4.518280359883027e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,I,59,1,8409.733235584135,0.002479535057993983,0.0003519926492799696,0.002348540112847611,0.007654236163944006,1,0,3.6360869870577517e-10,2.185504832663554e-09,4.632458786145298e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,I,60,2,8386.1410887003,0.002443947324108021,0.0003451236721684907,0.002300664136013512,0.008806969970464706,1,0,6.299020055555715e-08,4.054006115805642e-07,3.720308528245859e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,I,61,3,8362.579066471899,0.002110614012395644,0.00028835888311968047,0.0020052086646270817,0.01013155560940504,1,1,2.0610097739570676e-08,1.3002878712642385e-07,1.0087920413118926e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,I,62,4,8339.047684208308,0.0018048400443042407,0.00021798802616731155,0.0017230358868117136,0.01147175207734108,1,0,2.070922097696659e-08,1.3251040603678987e-07,9.036560719766055e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,I,63,5,8322.696560092298,0.001090145533326401,0.00035391549626870923,0.0009860781327237392,0.013043252751231194,1,0,2.0776177250825256e-08,1.345582919531907e-07,9.35593479949491e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,I,64,6,8306.374785702175,0.0013685962357231633,0.0004904781723796741,0.0012256199050503572,0.014387557283043861,1,0,2.0922358567876387e-08,1.365237579098455e-07,9.326619411365769e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,I,65,7,8290.082379045087,0.000769717153032819,0.0002511056627036091,0.000695752871197979,0.01584581844508648,1,0,2.1031727165388148e-08,1.3804367771097503e-07,9.298117831235686e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,I,66,8,8310.755925964024,0.0027161106275250227,0.0006278228926645661,0.00251956058634436,0.017115499824285507,1,0,2.1228311386511933e-08,1.4013326588013797e-07,9.012017851447574e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,I,67,9,8331.456243036448,0.0011150587688614224,0.0005561619230530744,0.0009325762760167786,0.018686950206756592,1,0,5.640773959036949e-11,3.0053182165090675e-10,1.803591922891276e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,I,68,10,8352.18544026199,0.002185542399877898,0.0003748294349066823,0.002060085324059481,0.02062254026532173,1,0,5.6556842542576646e-11,3.0025548714007755e-10,7.005534227155538e-16,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,I,69,11,8375.505931554966,0.004048456628273648,0.0012229190175035778,0.003705909643097488,0.0222996324300766,1,0,5.6314730656481515e-11,2.977808555293393e-10,1.0269562977782698e-15,0.0,0.0,0.0,0.0
OPSD_DE_2016-05-15,I,70,12,8398.858343879172,0.0010350713533839326,0.0003454340125837717,0.0009419202590113437,0.02490517683327198,1,0,5.570027772350272e-11,2.9332253292935206e-10,9.012017851447574e-16,0.0,0.0,0.0,0.0
