B,method,R_weighted_nonfail,R_count_nonfail,clean_starts,starts,busy_steps,D95,failures,cost_per_step,expired,horizon,MILP,decision_including_solver_seconds,solver_seconds
1,ATC_START,0.72835860036315536,0.75941752964273235,9.5,158,215.5,10,7.75,10.139770318827921,34.625,0,0,0.00076859050204798748,0
1,ROLLING_CURRENT_QUEUE_NONDELAY,0.75945763878751049,0.78229216403692536,9.5,162.5,215.5,9.875,8,10.387445807780313,30.125,0,106.5,0.62267191774981256,0.56459017262295674
2,ATC_START,0.97436865733181821,0.93522311195117158,9.5,192.625,275.125,0.875,8.5,12.253796251493604,0,0,0,0.00067179626057618748,0
2,ROLLING_CURRENT_QUEUE_NONDELAY,0.97436865733181821,0.93522311195117158,9.5,192.625,275.125,1,8.5,12.253796251493604,0,0,11.375,0.030896874769950886,0.025437454123220914
